nquest,Y,CN,CD1,CD2,CD,C,S
36403,18470.202666,15960,0,0,0,15960,2510.2026664
36409,65721.991689,12000,15000,0,15000,27000,38721.991689
36443,37700.27107,20000,0,0,0,20000,17700.27107
36450,66432.53383,29800,0,5600,5600,35400,31032.53383
36522,66147.197142,40500,0,0,0,40500,25647.197142
36524,52436.652815,58600,0,0,0,58600,-6163.347185
36697,19501.367816,14830,0,0,0,14830,4671.3678165
36893,37953.982942,32900,0,0,0,32900,5053.9829422
37001,48175.656971,26400,0,0,0,26400,21775.656971
37011,51407.559746,24000,0,730,730,24730,26677.559746
37299,21200,16100,0,0,0,16100,5100
37459,33113.516985,26400,4000,0,4000,30400,2713.5169853
37521,26043.71306,15000,0,0,0,15000,11043.71306
37665,43007.927063,26400,0,0,0,26400,16607.927063
37677,33366.681589,16500,0,0,0,16500,16866.681589
37810,7700,7200,0,0,0,7200,500
38014,28296.783112,10200,0,0,0,10200,18096.783112
38095,39405.626646,25900,0,800,800,26700,12705.626646
38106,36032.766154,24000,0,0,0,24000,12032.766154
38135,6313.545708,9850,0,0,0,9850,-3536.454292
38272,31850.032896,21600,0,0,0,21600,10250.032896
38316,66197.096199,34900,0,3500,3500,38400,27797.096199
38349,38103.857282,31600,0,0,0,31600,6503.8572825
38554,48077.679013,28252.377752,0,0,0,28252.377752,19825.301261
38877,14364.133211,11300,0,0,0,11300,3064.1332114
38885,34709.958446,16200,0,530,530,16730,17979.958446
38939,47809.628133,32400,0,600,600,33000,14809.628133
38940,36498.644504,28200,0,0,0,28200,8298.6445044
38957,21901.832641,26214,0,0,0,26214,-4312.167359
38979,21644.301475,25540,0,400,400,25940,-4295.698525
38992,97466.165696,60600,0,0,0,60600,36866.165696
39056,41081.348835,27240,0,600,600,27840,13241.348835
39086,49861.25614,18760,0,0,0,18760,31101.25614
39095,29245.802712,15200,0,0,0,15200,14045.802712
39218,31364.982534,16800,0,0,0,16800,14564.982534
39227,18653.415891,32900,0,3000,3000,35900,-17246.58411
39284,67698.60295,16680,14000,300,14300,30980,36718.60295
39317,17800,12000,0,0,0,12000,5800
39318,39417.870433,19800,9000,0,9000,28800,10617.870433
39351,16900,15600,0,0,0,15600,1300
39488,33929.903137,22200,0,0,0,22200,11729.903137
39491,56099.837177,36000,0,0,0,36000,20099.837177
39697,57844.85031,37200,0,0,0,37200,20644.85031
50052,8844.9021275,18608,0,0,0,18608,-9763.097873
50060,34646.077713,22200,0,0,0,22200,12446.077713
50085,10403.665282,10964,0,0,0,10964,-560.3347185
50231,24100,20800,0,0,0,20800,3300
50232,12800,12000,0,0,0,12000,800
51013,64754.201199,33900,0,6500,6500,40400,24354.201199
51363,14486.652815,9200,0,0,0,9200,5286.6528152
51444,37837.298753,20976,0,0,0,20976,16861.298753
51467,21114.661126,20000,0,0,0,20000,1114.6611261
51544,25249.222729,9600,0,0,0,9600,15649.222729
51733,37021.094684,19000,0,0,0,19000,18021.094684
51895,40578.892002,47200,0,0,0,47200,-6621.107998
52700,12416.185596,11400,0,0,0,11400,1016.1855959
52718,14204.070124,9600,0,0,0,9600,4604.0701236
52736,21273.183821,19800,0,0,0,19800,1473.183821
53008,61144.831235,21000,25000,0,25000,46000,15144.831235
53028,16224.668616,6000,0,0,0,6000,10224.668616
53086,34029.875337,23340,0,300,300,23640,10389.875337
53109,22588.539431,16200,0,0,0,16200,6388.5394307
53202,28246.481579,15600,0,0,0,15600,12646.481579
53234,49019.220249,16800,0,0,0,16800,32219.220249
53373,41804.740186,28200,0,5000,5000,33200,8604.7401863
53380,30900,12600,0,0,0,12600,18300
