nquest,anmutuo11,anmutuo12,debgar11_1,debgar12_1,debgar11_2,debgar12_2,debgar11_3,debgar12_3,debm11,debm12,debpers11,debpers12,debrf11,debrf12,ltv11,ltv12,mutuodu11,mutuodu12,mutuoin11,mutuoin12,ratacon11,ratacon12,rifinanz11,rifinanz12,rippag11,rippag12,rippagqua11,rippagqua12,sospecome11,sospecome12,sospens11,sospens12,stesmut11,stesmut12,taxfis11,taxfis12,taxvar11,taxvar12,tipotax11,tipotax12,tmutuoab11,tmutuoab12,whytipo11,whytipo12,tdebita11,tdebita12
504821,2007,,1,,0,,0,,1,,,,2,,100,,27,,90000,,1,,1,,,,,,,,2,,3,,,,2.75,,2,,6000,,1,,75000,
505424,2007,,1,,0,,0,,1,,,,2,,40,,20,,100000,,1,,2,,,,,,,,2,,,,,,0.4,,2,,5000,,4,,70000,
506458,2001,,1,,0,,0,,1,,,,2,,95,,25,,120000,,,,2,,,,,,,,2,,,,2.9,,,,1,,9000,,1,,70000,
507544,2007,,1,,0,,0,,2,,,,2,,40,,20,,200000,,2,,2,,,,,,,,2,,,,,,2,,2,,12500,,4,,115000,
507644,2011,,1,,0,,0,,2,,,,2,,5,,10,,20000,,,,2,,,,,,,,2,,,,7,,,,1,,2400,,4,,12000,
509717,2015,,0,,0,,1,,1,,2,,2,,100,,15,,36000,,,,2,,,,,,,,2,,,,0.3,,,,1,,2400,,3,,33000,
512452,2015,,1,,0,,0,,1,,,,2,,100,,15,,145000,,2,,2,,,,,,,,2,,,,,,2.7,,2,,12000,,1,,130000,
512784,2013,,0,,0,,1,,2,,1,,2,,15,,6,,15000,,,,2,,,,,,,,2,,,,6.9,,,,1,,3160,,1,,9000,
620858,2003,,1,,0,,0,,1,,,,2,,50,,25,,98000,,,,2,,,,,,,,2,,,,3.9,,,,1,,3600,,3,,59400,
622228,2013,,1,,0,,0,,2,,,,2,,10,,10,,50000,,,,2,,,,,,,,2,,,,4,,,,1,,5000,,3,,30000,
627314,2010,,1,,0,,0,,1,,,,1,,90,,30,,220000,,,,1,,,,,,,,2,,1,,6.8,,,,1,,9360,,4,,40000,
630858,2011,,1,,0,,0,,1,,,,2,,50,,10,,50000,,,,2,,,,,,,,2,,,,2,,,,1,,6000,,3,,30000,
635346,2011,,0,,0,,1,,2,,1,,2,,10,,8,,20000,,,,2,,,,,,,,2,,,,2,,,,1,,4560,,3,,2000,
639502,2007,,1,,0,,0,,1,,,,2,,99,,20,,124000,,,,2,,,,,,,,2,,,,4.4,,,,1,,9333,,1,,75000,
640864,2001,,1,,0,,0,,1,,,,2,,100,,20,,25000,,1,,1,,2,,,,2,,1,,1,,,,4,,2,,1000,,3,,20000,
671152,2005,,1,,0,,0,,1,,,,2,,100,,30,,150000,,2,,2,,,,,,,,2,,,,,,1.27,,2,,6000,,2,,100000,
671206,1999,,1,,0,,0,,1,,,,2,,50,,20,,40000,,1,,2,,,,,,,,2,,,,,,0.1,,2,,2400,,4,,5000,
671362,2007,,0,,0,,1,,2,,2,,2,,10,,10,,30000,,,,2,,,,,,,,2,,,,4.9,,,,1,,3600,,1,,3500,
672417,2001,,1,,0,,0,,1,,,,2,,100,,20,,60000,,2,,2,,,,,,,,2,,,,,,4,,2,,6000,,4,,24000,
673145,2004,,1,,0,,0,,1,,,,2,,100,,20,,80000,,2,,2,,,,,,,,2,,,,,,3.5,,2,,5400,,4,,33000,
673540,2005,,1,,0,,0,,1,,,,2,,75,,20,,60000,,,,2,,,,,,,,2,,,,3.5,,,,1,,4000,,1,,30000,
