nquest,TDEBITC,TDEBITD,TDEBITE,TDEBITF,TDEBITG,PFIMM,PFCONS,PFAZ,PFCARTE,PFCC,RATADEB_RES,RATADEB_AIMM,RATADEB_FAM,RATADEB,RATADEB_PROF,PFCOLL,PFNOCOLL
35507,7000,0,0,0,0,0,7000,0,0,0,,,5500,5500,,0,7000
35508,0,0,0,0,0,0,0,228400,0,0,,,,24600,24600,198400,30000
35518,0,0,0,0,0,0,0,0,0,0,,,,,,,
35600,0,0,0,0,0,0,0,0,0,0,,,,,,,
35640,0,0,0,0,0,0,0,0,0,0,,,,,,,
35682,0,0,0,0,0,0,0,0,0,0,,,,,,,
35788,0,0,0,0,0,0,0,0,0,0,,,,,,,
35968,0,0,0,0,0,0,0,0,0,0,,,,,,,
36067,0,0,0,0,0,0,0,0,0,0,,,,,,,
36130,0,0,0,0,0,0,0,0,0,0,,,,,,,
36164,0,0,0,0,0,0,0,0,0,0,,,,,,,
36186,0,0,0,0,0,0,0,0,0,0,,,,,,,
36250,0,0,0,0,0,0,0,31000,0,0,,,,3500,3500,31000,0
36321,0,0,0,0,0,0,0,0,0,0,,,,,,,
36333,0,0,0,0,0,0,0,0,0,0,,,,,,,
36378,0,0,0,0,0,0,0,0,0,0,,,,,,,
36403,0,0,0,0,0,0,0,0,0,0,,,,,,,
36409,0,0,0,0,0,0,0,0,0,0,,,,,,,
36443,0,0,0,0,0,0,0,0,0,0,,,,,,,
36450,0,0,0,0,0,0,0,0,0,0,,,,,,,
36522,0,0,0,0,0,0,0,0,0,0,,,,,,,
36524,0,0,0,0,0,0,0,0,0,0,,,,,,,
36697,0,0,0,0,0,0,0,0,0,0,,,,,,,
36893,0,0,0,1000,0,0,1000,0,0,0,,,1000,1000,,0,1000
37001,0,0,0,0,0,0,0,0,0,0,,,,,,,
37011,0,0,0,0,0,0,0,0,0,0,,,,,,,
37299,0,0,0,0,0,0,0,0,0,0,,,,,,,
37459,0,0,0,0,0,0,0,0,0,0,,,,,,,
37521,0,0,0,0,0,9000,0,0,0,0,1570,,,1570,,9000,0
37665,0,0,0,0,0,180000,0,0,0,0,9600,,,9600,,180000,0
37677,0,0,0,0,0,0,0,0,0,0,,,,,,,
37810,0,0,0,0,0,0,0,0,0,0,,,,,,,
38014,0,0,0,0,0,0,0,0,0,0,,,,,,,
38095,7000,0,0,0,0,0,7000,0,0,1978.6976436,,,4200,4200,,0,8978.6976436
38106,0,0,0,0,0,0,0,0,0,0,,,,,,,
38135,0,0,0,0,0,30000,0,0,0,190,,1700,,1700,,30000,190
38272,0,0,0,0,0,25000,0,0,0,0,10000,,,10000,,25000,0
38316,0,0,0,0,0,0,0,0,0,0,,,,,,,
38349,0,0,0,0,0,0,0,0,0,0,,,,,,,
38554,0,0,0,0,0,0,0,0,0,0,,,,,,,
