nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,attest,dimaz,oretot,pstra,orestra,b1bonus,ylm,integ,ylnm,contaz_1,contaz_2,contaz_3
29680,1,1,1,1,1,1,12,1,1,40,2,,2,16800,2,0,2,2,2
29680,4,1,1,1,1,1,12,1,2,40,2,,2,10000,2,0,2,2,2
29737,1,1,1,1,1,1,12,1,6,38,2,,1,39000,2,0,2,2,2
29737,2,2,1,2,1,1,12,1,8,12,2,,2,12000,2,0,2,2,2
29742,1,1,1,1,1,1,12,1,6,40,2,,2,20000,2,0,2,2,2
29742,2,1,1,1,1,2,11,1,8,35,2,,2,22000,1,500,2,2,2
29823,2,2,1,1,1,1,12,1,6,36,2,,1,25000,2,0,2,2,2
29823,4,2,1,1,2,2,6,1,4,40,2,,2,6000,2,0,2,2,2
31625,2,2,1,1,1,1,12,1,4,40,2,,2,27000,2,0,1,2,2
31695,2,1,1,1,1,1,12,1,5,40,1,4,2,24700,2,0,2,2,2
31695,3,1,1,1,1,1,12,1,4,40,2,,2,15600,2,0,2,2,2
31724,1,1,1,1,1,1,12,1,7,45,1,0,1,32000,2,0,1,2,2
31724,2,2,1,2,1,1,12,1,4,27,2,,2,15000,2,0,2,1,2
31860,1,1,1,1,1,1,12,1,8,36,2,,2,16000,2,0,2,2,2
31860,2,1,1,1,1,1,12,1,8,20,2,,2,17000,2,0,2,2,2
31860,3,1,1,2,2,2,8,1,8,30,2,,2,3200,2,0,2,2,2
32320,1,1,1,1,1,1,12,1,8,24,2,,2,30000,2,0,2,2,2
32320,2,1,1,1,1,1,12,1,7,40,2,,2,35000,2,0,2,2,2
32320,3,1,1,2,2,2,6,1,1,20,2,,2,4000,2,0,2,2,2
32668,3,1,1,2,3,3,,1,1,20,2,,2,6000,2,0,2,1,1
32709,2,2,1,2,1,1,12,1,1,20,2,,2,6000,2,0,2,2,2
32709,3,1,1,1,1,1,12,1,4,36,2,,2,28000,2,0,2,2,2
32709,4,1,1,1,1,1,12,1,8,36,2,,2,23000,2,0,2,2,2
32734,1,1,1,1,1,1,12,1,2,40,1,3,2,24000,2,0,2,2,2
32765,1,1,1,1,1,1,12,1,8,36,2,,2,20000,1,400,2,2,2
32765,2,2,1,1,1,1,12,1,5,40,1,2,2,27000,1,1000,2,2,2
32822,3,1,1,1,1,1,12,1,8,36,2,,2,14000,2,0,2,2,2
32861,3,1,1,1,1,1,12,1,2,40,2,,2,15000,2,0,2,2,2
32887,1,1,2,1,1,2,1,1,1,45,2,,2,2200,2,0,2,2,2
32887,2,2,1,1,1,1,12,1,1,40,2,,2,19500,2,0,2,2,2
33038,1,1,1,1,2,1,12,1,8,40,2,,2,14000,2,0,2,2,2
33038,4,1,1,1,2,1,12,1,1,48,2,,2,10300,2,0,2,2,2
33038,5,1,1,1,2,2,10,2,7,42,2,,2,18000,1,5000,2,2,2
33335,1,1,1,1,1,1,12,1,2,36,1,1,1,18000,2,0,2,2,2
33335,2,2,1,1,1,1,12,1,4,40,1,1,2,13000,2,0,2,2,2
33335,4,1,1,1,1,1,12,1,7,38,1,0,1,18000,2,0,2,2,2
33451,1,1,1,1,1,1,12,1,8,36,2,,2,18000,2,0,2,2,2
33877,1,1,1,2,1,1,12,1,1,24,2,,2,5200,2,0,2,2,2
33877,2,1,1,1,1,1,12,1,4,40,2,,2,39000,2,0,2,2,2
33985,2,1,1,1,1,1,12,1,8,40,2,,2,24000,2,0,2,2,2
33994,3,3,1,1,2,2,6,1,4,48,1,10,1,7800,2,0,2,2,2
34778,2,1,1,1,1,1,12,1,1,40,2,,2,15000,2,0,2,2,2
34900,1,1,1,2,1,1,12,1,1,16,2,,2,4000,2,0,2,2,2
34900,2,1,1,1,1,1,12,1,5,40,2,,2,18000,2,0,2,2,2
35022,2,1,1,1,1,1,12,1,2,40,2,,2,19000,2,0,2,2,2
35022,3,1,1,2,2,2,6,1,8,25,2,,2,2400,2,0,2,2,2
35032,1,1,1,1,1,1,12,1,6,40,2,,2,20000,2,0,2,2,2
35032,2,2,1,1,1,1,12,1,4,40,2,,1,22400,1,1000,2,2,1
35032,3,1,1,1,1,1,12,1,6,40,1,5,1,25000,1,2000,2,1,2
35372,1,1,1,1,1,1,12,1,3,36,2,,2,18500,2,0,2,2,2
