nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,attest,dimaz,oretot,pstra,orestra,b1bonus,ylm,integ,ylnm,contaz_1,contaz_2,contaz_3
859459,1,1,1,1,1,1,12,1,6,40,2,,2,34300,2,0,2,2,2
859459,3,3,1,1,1,1,12,1,6,42,1,2,1,16800,2,0,2,1,2
859573,1,1,1,2,2,1,12,1,1,25,2,,2,7000,2,0,2,2,2
859587,2,2,1,1,1,1,12,1,8,18,2,,2,22100,2,0,2,2,2
859588,1,1,1,2,2,1,12,1,3,24,1,1,2,9000,2,0,2,2,2
859592,1,1,1,1,1,1,12,1,5,40,1,16,2,42337,2,0,2,2,2
859592,2,1,1,1,1,1,12,1,8,36,1,3,2,18000,2,0,2,2,2
859611,1,1,1,1,1,1,12,1,8,50,2,,2,38000,2,0,2,2,2
859611,2,1,1,1,1,1,12,1,8,18,2,,2,21000,2,0,2,2,2
859908,1,1,1,1,1,1,12,1,4,36,2,,2,20000,2,0,2,2,2
859913,1,1,1,2,1,1,12,1,4,24,2,,2,8200,2,0,2,2,2
859920,2,1,1,1,1,1,12,1,2,40,2,,1,21000,2,0,2,2,2
859946,2,1,1,2,3,3,,1,2,24,2,,2,3000,2,0,2,2,2
860095,1,1,1,1,1,1,12,1,8,40,2,,2,43000,2,0,2,2,2
860127,1,1,1,1,1,1,12,1,4,50,2,,2,44000,2,0,2,2,2
860164,1,1,1,1,2,1,12,1,7,38,1,10,1,15000,2,0,2,2,2
860353,1,1,1,2,3,1,12,1,2,30,2,,2,10000,2,0,2,2,2
860353,2,2,1,2,3,1,12,1,1,10,2,,2,3500,2,0,2,2,2
860573,2,1,1,1,1,1,12,1,2,40,2,,2,12000,2,0,2,2,2
860688,2,1,1,1,1,1,12,1,8,36,2,,2,19500,2,0,2,2,2
860704,1,1,1,1,1,1,12,1,1,40,2,,2,22700,2,0,2,2,2
860704,2,1,1,2,1,1,12,1,1,30,2,,2,10400,2,0,2,2,2
860726,1,1,1,2,2,1,12,1,2,30,2,,2,7600,1,1269.6,2,2,2
860820,1,1,1,2,1,1,12,1,2,28,2,,2,9100,2,0,2,2,2
860820,2,1,1,1,1,1,12,1,2,38,2,,2,14300,2,0,2,2,2
860826,1,1,1,1,1,1,12,1,1,36,2,,2,14300,2,0,2,2,2
860900,2,1,1,1,1,1,12,1,7,36,2,,2,16900,2,0,2,2,2
860977,3,1,1,2,2,3,,1,2,15,2,,2,6000,2,0,2,2,2
860985,2,1,1,1,1,1,12,1,2,44,1,4,2,18000,2,0,2,2,2
860985,3,3,1,1,1,1,12,1,3,40,2,,2,15600,1,1200,2,2,2
860985,4,4,1,1,1,1,12,1,3,40,2,,2,17500,1,1680,2,2,2
861061,1,1,1,1,1,1,12,1,8,36,2,,2,30000,2,0,2,2,2
861061,2,2,1,1,1,1,12,1,7,40,2,,2,28000,1,1400,1,2,2
861272,2,1,1,1,1,1,12,1,5,36,1,10,2,19000,2,0,2,2,2
861471,2,1,1,1,1,1,12,1,3,30,2,,2,13000,2,0,2,2,2
861578,3,1,1,1,1,1,12,1,1,50,2,,2,10000,2,0,2,2,2
861581,2,1,1,1,1,1,12,1,8,40,1,6,2,25000,2,0,2,2,2
861581,3,1,1,1,2,1,12,1,2,38,2,,1,12000,2,0,2,2,2
861731,1,1,1,1,1,1,12,1,1,36,2,,2,17000,2,0,2,2,2
861949,1,1,1,1,1,1,12,1,5,40,2,,2,20000,2,0,2,2,2
861949,4,1,1,2,2,3,,1,1,15,2,,2,1500,2,0,2,2,2
861954,1,1,1,1,1,1,12,1,3,40,1,20,2,18000,2,0,2,1,2
862003,2,2,1,2,3,1,12,1,1,12,2,,2,5200,2,0,2,2,2
862062,1,1,1,2,1,1,12,1,1,24,2,,2,10000,2,0,2,2,2
862062,2,2,1,1,2,2,4,1,6,40,2,,2,4500,2,0,2,2,2
862080,2,1,1,1,1,1,12,1,8,36,2,,2,18000,2,0,2,2,2
862146,1,1,1,1,1,1,12,1,5,48,2,,2,17940,2,0,2,2,2
862146,3,3,1,1,2,1,12,1,2,40,2,,2,10500,2,0,2,2,2
862150,1,1,1,1,1,1,12,1,6,48,2,,2,18000,1,2500,1,2,2
862150,2,1,1,1,1,1,12,1,8,40,2,,2,16500,2,0,2,2,2
862358,2,1,1,2,,1,12,1,1,25,2,,2,10400,2,0,2,2,2
862416,2,1,1,1,1,1,12,1,5,50,2,,2,18000,2,0,2,2,2
862455,2,1,1,1,1,1,12,1,8,40,2,,2,14500,2,0,2,2,2
862462,2,1,1,1,1,1,12,1,3,40,2,,2,18000,2,0,2,2,2
862583,1,1,1,1,1,1,12,1,3,40,2,,2,17000,2,0,2,2,2
862583,2,2,1,1,1,1,12,1,4,54,2,,2,16000,2,0,2,2,2
862590,1,1,1,1,1,1,12,1,4,40,2,,2,18000,2,0,2,2,2
862590,2,2,1,1,1,1,12,1,2,36,2,,2,19000,2,0,2,2,2
862604,2,1,1,1,1,1,12,1,1,50,2,,2,18000,2,0,2,2,2
862824,1,1,1,1,1,1,12,1,1,56,2,,2,10400,2,0,2,2,2
862826,1,1,1,1,1,1,12,1,1,36,2,,2,9000,2,0,2,2,2
863078,1,1,1,1,1,1,12,1,8,40,1,4,2,50000,2,0,2,2,2
863078,2,1,1,1,1,1,12,1,8,24,2,,2,20000,2,0,2,2,2
863099,1,1,1,1,2,1,12,1,2,36,2,,2,13000,2,0,2,2,2
863223,1,1,1,1,1,1,12,1,2,40,2,,2,14000,2,0,2,2,2
863239,2,2,1,1,1,1,12,1,6,37,2,,2,19500,2,0,2,2,2
863333,1,1,1,1,1,1,12,1,2,36,2,,2,13650,2,0,2,2,2
863387,3,3,1,1,2,1,12,1,8,40,2,,2,14000,2,0,2,2,2
863402,2,1,1,1,1,1,12,1,6,36,2,,2,18000,2,0,2,2,2
863447,3,1,1,1,1,1,12,1,8,30,2,,2,12000,2,0,2,2,2
863451,1,1,1,1,1,1,12,1,1,30,2,,2,10000,2,0,2,2,2
863451,2,1,1,1,1,1,12,1,4,36,2,,2,15000,2,0,2,2,2
863542,1,1,1,1,1,1,12,1,1,28,2,,2,10400,2,0,2,2,2
863684,2,1,1,1,1,1,12,1,3,40,1,10,2,20000,2,0,2,2,2
863684,3,1,1,1,1,1,12,1,3,38,2,,2,21000,2,0,2,2,2
863863,1,1,1,1,1,1,12,1,7,37,1,2,1,20000,2,0,1,2,2
863863,2,1,1,1,1,1,12,1,5,40,1,2,2,25000,1,1000,1,2,2
864120,1,1,1,1,1,1,12,1,1,40,2,,2,10400,2,0,2,2,2
864120,2,1,1,1,1,1,12,1,3,40,2,,2,21000,2,0,2,2,2
864133,1,1,1,1,1,1,12,1,8,36,2,,2,40000,2,0,2,2,2
864133,2,1,1,1,1,2,6,1,5,36,2,,2,10000,2,0,2,2,2
864213,1,1,1,1,1,1,12,1,2,40,1,6,2,18000,2,0,2,2,2
864473,1,1,1,1,1,1,12,1,1,40,2,,2,12000,2,0,2,2,2
864473,2,2,1,2,1,1,12,1,1,15,2,,2,5500,2,0,2,2,2
864473,4,4,1,1,1,1,12,1,1,40,2,,2,8000,2,0,2,2,2
864473,5,5,1,1,1,1,12,1,1,48,2,,2,8000,2,0,2,2,2
864477,2,2,1,1,1,1,12,1,8,40,2,,2,37000,2,0,2,2,2
864809,2,1,1,1,1,1,12,1,7,40,1,10,2,37500,2,0,2,2,2
864809,3,1,2,1,2,2,10,1,3,40,2,,2,7500,2,0,2,2,2
864809,4,1,2,1,2,2,4,1,4,30,2,,2,2500,2,0,2,2,2
865142,1,1,1,1,1,1,12,1,4,40,1,0,1,21500,1,5000,2,2,2
865202,2,1,1,2,1,1,12,1,4,20,1,0,2,12000,2,0,2,2,2
865357,1,1,1,1,1,1,12,1,8,30,2,,2,16500,2,0,2,2,2
865491,3,1,1,1,2,1,12,1,1,47,2,,2,8000,2,0,2,2,2
865494,1,1,1,1,1,1,12,1,8,40,1,0,2,18000,2,0,2,2,2
865500,1,1,1,1,1,2,3,1,2,40,2,,2,3600,2,0,2,2,2
865500,3,2,1,1,2,1,12,1,3,48,1,0,2,14000,2,0,2,2,2
865780,2,1,1,1,1,1,12,1,2,40,2,,2,18000,2,0,2,2,2
865806,1,1,1,1,1,1,12,1,5,36,2,,2,21500,1,1200,1,2,2
865806,2,1,1,1,1,1,12,1,6,38,1,6,2,24000,1,1200,1,1,2
866071,1,1,1,1,1,1,12,1,7,48,2,,1,35000,1,1200,2,1,1
866071,2,1,1,2,1,1,12,1,4,20,2,,2,13000,2,0,2,2,2
866220,1,1,1,1,1,1,12,1,4,36,2,,2,19000,2,0,2,2,2
866386,1,1,1,1,1,1,12,1,7,40,2,,2,14000,2,0,1,2,2
866387,1,1,1,1,1,1,12,1,6,40,1,10,2,22000,2,0,2,2,2
866387,2,1,1,2,2,1,12,1,3,25,2,,2,3500,2,0,2,2,2
866541,1,1,1,1,1,1,12,1,5,40,2,,2,24000,2,0,2,2,2
866855,1,1,1,1,1,1,12,1,8,36,1,5,2,17700,2,0,2,2,2
867104,2,1,1,1,1,1,12,1,4,40,2,,2,14000,2,0,2,2,2
867104,3,1,1,1,1,1,12,1,4,40,2,,2,12000,2,0,2,2,2
867205,1,1,1,1,1,1,12,1,6,40,1,5,1,30000,2,0,1,2,2
867205,2,2,1,1,1,2,1,1,6,40,2,,1,1500,2,0,1,2,2
867275,1,1,1,1,1,1,12,1,3,40,2,,2,16000,2,0,2,2,2
867275,2,2,1,2,2,1,12,1,2,25,1,3,2,7000,2,0,2,2,2
867462,1,1,1,1,1,1,12,1,8,18,2,,2,26000,2,0,2,2,2
867462,2,2,1,1,1,2,9,1,5,50,2,,1,60000,1,2000,2,2,2
867462,2,2,2,1,1,2,3,1,5,40,2,,2,20000,2,0,2,2,2
867653,1,1,1,2,1,1,12,1,1,30,1,2,2,10200,2,0,2,1,2
867653,1,1,2,2,1,1,12,1,1,6,1,1,2,3700,2,0,2,2,2
867674,1,1,1,1,2,2,9,1,2,40,2,,2,11000,2,0,2,2,2
867784,3,3,1,1,1,1,12,1,2,48,2,,2,19400,2,0,2,2,2
867799,2,1,1,1,1,1,12,1,1,40,2,,2,11700,2,0,2,2,2
867914,1,1,1,1,1,1,12,1,8,42,2,,2,16900,2,0,2,2,2
867929,1,1,1,1,1,1,12,1,4,40,2,,2,16900,2,0,2,2,2
867993,1,1,1,1,1,1,12,1,7,38,1,1,1,20000,1,1200,1,1,2
868098,1,1,1,2,2,1,12,1,6,18,2,,2,11000,2,0,2,2,2
868098,2,1,1,1,1,1,12,1,7,22,2,,2,23500,2,0,2,2,2
868165,3,1,1,1,1,1,12,1,4,36,2,,2,16000,2,0,2,2,2
868231,1,1,1,2,2,1,12,1,2,30,2,,2,8000,2,0,2,2,2
868231,2,1,1,1,2,1,12,1,2,35,2,,2,12000,2,0,2,2,2
868264,1,1,1,1,1,1,12,1,8,36,2,,2,19500,2,0,2,2,2
868283,1,1,1,1,1,1,12,1,5,50,2,,2,16000,2,0,2,2,2
868283,2,2,1,2,2,2,4,1,4,25,2,,2,1500,2,0,2,2,2
868283,3,2,2,1,1,1,12,1,4,45,2,,2,7000,2,0,2,2,2
868406,1,1,1,1,1,1,12,1,5,40,2,,2,16000,2,0,2,2,2
868406,2,2,1,1,1,1,12,1,5,40,2,,2,20000,2,0,2,2,2
868456,1,1,1,1,1,1,12,1,5,18,2,,2,15000,2,0,2,2,2
868463,2,1,1,1,1,1,12,1,8,42,2,,2,15000,1,200,2,2,2
868463,3,1,1,1,1,1,12,1,6,40,1,10,2,20000,2,0,2,2,2
868474,1,1,1,1,1,1,12,1,4,36,2,,2,15000,2,0,2,2,2
868478,1,1,1,2,1,1,12,1,8,20,2,,2,9000,2,0,2,2,2
868478,2,1,1,1,1,1,12,1,8,36,2,,2,20000,1,1269.6,2,2,2
868483,3,1,1,1,1,1,12,1,5,36,2,,2,20000,2,0,2,2,2
868504,2,1,1,1,2,1,12,1,1,30,2,,2,20800,2,0,2,2,2
868505,3,1,1,1,2,1,12,1,1,30,2,,2,10000,2,0,2,2,2
868583,2,2,1,1,1,1,12,1,3,40,2,,2,18000,2,0,2,2,1
868583,3,3,1,2,2,2,4,1,1,10,2,,2,2000,2,0,2,2,2
868843,2,1,1,1,1,1,12,1,4,40,2,,2,14300,2,0,2,2,2
869003,1,1,1,1,1,1,12,1,8,24,2,,1,17000,2,0,2,2,2
869006,1,1,1,1,1,1,12,1,3,36,1,8,1,19000,2,0,2,2,2
869006,2,1,1,1,1,1,12,1,5,40,2,,2,16000,2,0,2,2,2
869021,2,1,1,1,1,1,12,1,2,40,1,8,2,25000,2,0,2,2,2
869022,2,1,1,1,2,2,9,1,2,40,2,,2,15000,2,0,2,2,2
869023,1,1,1,1,1,1,12,1,2,40,2,,2,15600,2,0,2,2,2
869042,2,2,1,1,1,1,12,1,2,36,2,,2,13000,2,0,2,2,2
869043,2,1,1,1,1,1,12,1,8,50,1,10,2,35000,2,0,2,2,2
871090,3,3,1,1,1,1,12,1,2,40,2,,2,17000,2,0,2,2,2
871145,1,1,1,1,2,1,12,1,1,48,2,,2,12000,2,0,2,2,2
871191,1,1,1,1,2,2,6,1,4,50,1,4,2,17000,1,700,2,1,2
871191,1,1,2,1,1,1,12,1,6,35,2,,1,11000,1,700,2,1,2
871218,3,2,1,1,1,1,12,1,2,40,2,,2,11500,2,0,2,2,2
871320,1,1,1,1,1,1,12,1,3,40,2,,2,19000,2,0,2,2,2
871320,2,2,1,1,1,1,12,1,4,40,2,,2,30000,2,0,2,2,2
871395,3,1,1,1,1,1,12,1,1,45,2,,2,18000,2,0,2,2,2
871440,1,1,1,1,1,1,12,1,4,40,1,2,1,21000,1,150,2,2,2
871461,1,1,1,1,1,1,12,1,4,50,2,,2,29000,1,3000,2,1,1
871533,1,1,1,2,1,1,12,1,5,24,2,,1,15000,2,0,2,1,2
871580,2,1,1,1,1,1,12,1,3,36,2,,2,20000,2,0,2,2,2
871618,1,1,1,1,1,2,4,1,4,40,2,,2,4500,2,0,2,2,2
871631,2,1,1,1,1,1,12,1,1,40,2,,2,16000,2,0,2,2,2
871695,3,1,1,1,2,1,12,1,1,40,2,,2,9600,2,0,2,2,2
871697,3,3,1,1,1,1,12,1,4,40,2,,2,18200,2,0,2,2,2
871798,1,1,1,2,2,1,12,1,1,24,2,,2,8000,2,0,2,2,2
871892,1,1,1,1,1,1,12,1,4,40,2,,2,16000,2,0,2,2,2
871903,1,1,1,1,1,1,12,1,7,36,1,6,2,20000,2,0,2,2,2
872065,1,1,1,2,1,2,10,1,6,30,2,,2,8000,2,0,2,2,2
872077,1,1,1,1,1,1,12,1,8,36,2,,2,18000,2,0,2,2,2
872077,2,1,1,1,1,1,12,1,8,36,2,,2,18000,2,0,2,2,2
872077,3,1,1,1,1,1,12,1,4,40,2,,2,15000,2,0,2,2,2
872077,4,1,1,1,1,1,12,1,5,40,1,1,2,16000,2,0,2,2,2
872107,2,1,1,2,2,3,,1,2,10,2,,2,2880,2,0,2,2,2
872112,1,1,1,1,1,1,12,1,8,38,1,3,1,28000,1,1200,2,2,2
872125,2,2,1,1,1,1,12,1,7,40,1,4,2,18200,2,0,2,2,2
872133,2,1,1,1,1,1,12,1,8,34,1,1,2,16900,2,0,2,2,2
872166,1,1,1,2,2,3,,1,4,30,2,,2,3000,2,0,2,2,2
872190,1,1,1,1,1,1,12,1,7,36,2,,2,16000,2,0,2,2,2
872190,2,1,1,1,1,1,12,1,7,36,2,,2,16000,2,0,2,2,2
872199,1,1,1,1,1,1,12,1,8,30,2,,2,19500,2,0,2,2,2
872199,1,1,2,2,2,2,8,1,2,15,2,,2,5500,2,0,2,2,2
872199,2,1,1,1,1,1,12,1,4,40,2,,2,17000,2,0,2,2,2
872228,1,1,1,1,1,1,12,1,4,40,2,,2,15000,2,0,2,2,2
872233,1,1,1,1,1,1,12,1,1,40,2,,2,12000,2,0,2,2,2
872312,1,1,1,1,1,1,12,1,4,40,2,,1,17450,2,0,2,2,2
872357,3,1,1,1,1,1,12,1,2,40,2,,2,11700,2,0,2,2,2
872377,2,1,1,1,1,1,12,1,8,36,2,,2,15600,2,0,2,2,2
872385,1,1,1,1,2,3,,1,1,40,2,,2,5000,2,0,2,2,2
872385,2,1,1,1,2,3,,1,1,40,2,,2,5000,2,0,2,2,2
872407,1,1,1,1,1,1,12,1,2,45,2,,2,19000,2,0,2,2,2
872413,1,1,1,1,1,1,12,1,1,40,2,,2,19500,2,0,2,2,2
872417,1,1,1,1,1,1,12,1,2,40,2,,2,15000,2,0,2,2,2
872422,1,1,1,1,1,1,12,1,1,36,2,,2,20000,2,0,2,2,2
872422,2,1,1,1,1,1,12,1,1,40,2,,2,20000,2,0,2,2,2
872432,1,1,1,1,2,1,12,1,1,40,2,,2,13200,2,0,2,2,2
872432,2,2,1,1,1,1,12,1,4,40,2,,2,14400,2,0,2,2,2
872433,1,1,1,1,1,1,12,1,3,36,2,,2,15600,2,0,2,2,2
872434,1,1,1,1,1,1,12,1,8,40,1,10,2,19500,2,0,2,2,2
872443,1,1,1,1,1,1,12,1,8,36,2,,2,17550,2,0,2,2,2
872450,2,2,1,1,2,2,11,1,5,40,2,,2,21000,2,0,2,2,2
872555,1,1,1,1,1,1,12,1,8,36,2,,2,15000,2,0,2,2,2
872556,1,1,1,1,1,1,12,1,4,40,2,,2,17000,2,0,2,2,2
872572,2,1,1,1,2,2,3,1,2,36,2,,2,2700,2,0,2,2,2
872602,1,1,1,1,1,1,12,1,6,30,2,,2,27000,2,0,1,2,2
872602,2,1,1,1,1,1,12,1,7,40,2,,2,45000,2,0,2,2,2
872619,1,1,1,1,1,1,12,1,6,40,2,,2,10000,2,0,2,2,2
872619,2,1,1,1,1,1,12,1,3,40,2,,2,10000,2,0,2,2,2
872747,3,1,1,1,1,1,12,1,1,40,2,,2,18000,2,0,1,2,2
872748,4,1,1,1,2,2,4,1,5,40,1,6,2,4000,2,0,2,2,2
872781,1,1,1,1,3,2,6,1,4,40,2,,2,5000,2,0,2,2,2
872781,2,1,1,1,1,1,12,1,4,40,1,5,2,20000,2,0,2,2,2
872930,3,1,1,1,2,2,7,2,2,40,2,,2,10000,2,0,2,2,2
872963,1,1,1,1,1,1,12,1,7,40,2,,1,76000,2,0,1,2,2
873011,1,1,1,1,1,1,12,1,8,40,1,5,2,31000,1,1269.6,2,2,2
873023,1,1,1,1,1,1,12,1,7,36,2,,2,22765,2,0,2,2,2
873037,1,1,1,2,2,1,12,1,1,30,2,,2,6500,2,0,2,2,2
873042,1,1,1,1,2,1,12,1,1,60,2,,2,9000,2,0,2,2,2
873043,2,1,1,1,1,1,12,1,3,40,2,,2,14000,2,0,2,2,2
873048,4,1,1,1,3,3,,1,2,25,2,,2,5000,2,0,2,2,2
873073,1,1,1,1,1,1,12,1,3,40,1,2,2,18200,2,0,2,2,2
873158,1,1,1,1,1,1,12,1,8,38,2,,2,13000,2,0,2,2,2
873166,3,1,1,1,1,1,12,1,6,40,2,,2,21000,2,0,2,2,2
873166,4,1,1,1,1,1,12,1,2,40,2,,2,15400,2,0,2,2,2
873194,1,1,1,1,1,1,12,1,5,40,2,,2,19240,1,500,2,2,2
873194,2,1,1,2,1,1,12,1,5,25,2,,2,15500,1,500,2,2,2
873207,1,1,1,1,1,1,12,1,8,40,2,,1,18980,1,686,2,2,2
873221,1,1,1,1,1,1,12,1,4,40,2,,2,17420,2,0,2,2,2
873221,2,2,1,1,1,1,12,1,2,40,2,,2,14560,2,0,2,2,2
873231,1,1,1,2,2,2,8,1,1,35,2,,2,7500,2,0,2,2,2
873243,1,1,1,1,1,1,12,1,8,40,2,,2,18330,1,1500,2,2,2
873272,1,1,1,1,1,1,12,1,4,40,2,,2,19500,1,1500,2,2,2
873275,1,1,1,1,1,1,12,1,8,40,2,,2,24700,2,0,2,2,2
873275,2,1,1,1,1,1,12,1,8,40,2,,2,20800,2,0,2,2,2
873280,1,1,1,1,1,1,12,1,1,30,2,,2,12350,2,0,2,2,2
873280,2,2,1,1,1,1,12,1,4,40,2,,2,16640,2,0,2,2,2
873280,3,1,1,1,1,1,12,1,1,36,2,,2,13650,2,0,2,2,2
873281,1,1,1,1,1,1,12,1,8,36,2,,2,15990,2,0,2,2,2
873286,1,1,1,1,1,1,12,1,8,35,2,,2,18460,2,0,2,2,2
873287,1,1,1,1,1,1,12,1,5,50,1,2,2,17950,2,0,2,2,2
873299,1,1,1,1,1,1,12,1,1,48,1,0,2,16900,2,0,2,2,2
873337,1,1,1,1,1,1,12,1,2,40,2,,2,18070,2,0,2,2,2
873390,1,1,1,1,1,1,12,1,2,40,2,,2,18460,2,0,2,2,2
873399,1,1,1,1,1,1,12,1,1,40,2,,2,15200,2,0,2,2,2
873401,1,1,1,1,1,1,12,1,3,40,1,5,2,19500,2,0,2,2,2
873401,2,2,1,2,2,1,12,1,1,30,2,,2,9600,2,0,2,2,2
873402,1,1,1,1,2,1,12,1,3,40,2,,2,15600,2,0,2,2,2
873457,1,1,1,1,1,1,12,1,6,40,1,0,2,16900,2,0,2,2,2
873491,1,1,1,1,1,1,12,1,7,40,2,,1,35000,2,0,2,2,2
873491,2,1,1,1,1,1,12,1,8,30,2,,2,15000,2,0,2,2,2
873809,1,1,1,1,1,1,12,1,6,44,2,,1,50000,1,1000,1,1,1
873859,1,1,1,1,1,1,12,1,8,36,2,,2,18000,2,0,2,2,2
874278,1,1,1,1,2,1,12,1,1,35,2,,2,15000,2,0,2,2,2
874330,3,3,1,1,1,1,12,1,4,40,2,,2,17000,2,0,2,2,2
874330,4,1,1,1,1,1,12,1,2,36,2,,2,15000,2,0,2,2,2
874347,1,1,1,2,1,1,12,1,7,30,2,,2,13000,2,0,2,2,2
874347,2,1,1,1,1,1,12,1,7,40,2,,2,19000,2,0,2,2,2
874375,1,1,1,1,1,1,12,1,7,48,1,5,1,40000,1,1269.6,2,1,2
874375,2,1,1,1,1,1,12,1,7,48,1,4,1,40000,1,1269.6,2,2,2
874514,2,1,1,2,1,1,12,1,1,22,1,1,2,13500,2,0,2,2,2
874514,3,1,1,1,1,2,5,1,4,40,2,,2,3500,1,550,2,2,2
874515,1,1,1,1,1,1,12,1,4,50,1,10,2,39000,2,0,2,2,2
874515,4,4,2,1,1,2,2,1,5,40,2,,2,2600,2,0,2,2,2
874517,1,1,2,1,1,2,6,1,2,40,2,,2,15000,2,0,2,2,2
874517,4,1,1,1,2,1,12,1,5,38,2,,2,15000,2,0,2,2,2
874545,2,1,1,2,2,2,6,1,5,30,2,,2,9000,2,0,2,2,2
874593,1,1,1,1,1,1,12,1,6,48,2,,2,21600,2,0,2,2,2
874607,2,1,1,1,1,1,12,1,5,42,2,,2,17000,2,0,2,2,2
874670,1,1,1,1,1,1,12,1,2,40,1,2,2,15000,2,0,2,2,2
874681,1,1,1,1,1,1,12,1,1,40,2,,2,16000,2,0,2,2,2
874705,1,1,1,1,1,1,12,1,2,30,2,,2,16000,2,0,2,2,2
874705,2,1,1,1,1,1,12,1,7,40,2,,2,26000,2,0,2,2,2
874717,2,1,1,1,1,1,12,1,4,40,2,,2,23000,2,0,2,2,2
874745,1,1,1,2,1,1,12,1,1,60,2,,2,10000,2,0,2,2,2
874761,1,1,1,1,1,1,12,1,8,40,2,,2,19000,2,0,2,2,2
874877,2,1,1,1,1,1,12,1,3,25,2,,2,10400,2,0,2,2,2
874891,2,1,1,1,1,1,12,1,4,40,2,,2,18200,2,0,2,2,2
874891,3,1,1,1,1,1,12,1,2,40,2,,2,16250,2,0,2,2,2
874961,1,1,1,2,1,1,12,1,3,18,2,,2,10000,2,0,2,2,2
874961,2,1,1,2,1,1,12,1,3,18,2,,2,20000,2,0,2,2,2
875011,1,1,1,2,2,2,8,1,7,39,2,,2,12000,2,0,2,2,2
875011,2,1,1,1,1,1,12,1,4,40,2,,2,18000,2,0,2,2,2
875011,3,1,1,1,1,1,12,1,2,36,2,,2,15000,2,0,2,2,2
875020,1,1,1,1,1,1,12,1,6,36,2,,2,20000,2,0,2,2,2
875027,2,1,1,1,1,1,12,1,6,36,2,,2,18000,2,0,2,2,2
875044,1,1,1,1,1,1,12,1,1,40,2,,2,10000,2,0,2,2,2
875088,3,1,1,1,2,1,12,1,5,40,1,4,2,13160,2,0,2,2,2
875088,4,1,1,2,2,1,12,1,1,25,2,,2,12900,2,0,2,2,2
875095,1,1,1,1,1,1,12,1,6,40,2,,2,18500,2,0,2,2,2
875095,2,2,1,1,1,1,12,1,8,36,2,,2,18900,2,0,2,2,2
875096,1,1,1,1,1,1,12,1,4,48,1,4,2,17900,2,0,2,2,2
875096,2,1,1,1,1,1,12,1,3,42,1,3,2,21700,2,0,2,2,2
875100,1,1,1,1,1,1,12,1,8,40,1,5,2,20650,1,1600,2,2,2
875126,1,1,1,1,1,1,12,1,8,36,2,,1,16400,1,800,2,2,2
875126,2,1,1,1,1,1,12,1,8,36,2,,1,16400,1,800,2,2,2
875139,1,1,1,1,1,1,12,1,4,45,2,,2,17000,2,0,2,2,2
875139,2,1,1,2,1,1,12,1,7,29,2,,2,14500,2,0,2,2,2
875211,1,1,1,1,1,1,12,1,4,36,2,,2,11000,2,0,2,2,2
875214,1,1,1,1,1,1,12,1,8,40,1,4,2,12600,2,0,2,2,2
875214,2,1,1,1,1,1,12,1,3,40,2,,2,15000,2,0,2,2,2
875214,3,1,1,1,1,1,12,1,1,36,2,,2,12000,2,0,2,2,2
875214,4,1,1,2,2,1,12,1,1,25,2,,2,6000,2,0,2,2,2
875217,3,1,1,1,1,1,12,1,1,30,2,,2,10000,2,0,2,2,2
875221,1,1,1,2,3,2,5,1,2,24,2,,2,4000,2,0,2,2,2
875224,3,1,1,1,1,1,12,1,2,40,2,,2,19000,2,0,2,2,2
875280,1,1,1,1,1,1,12,1,7,38,2,,2,22000,2,0,2,2,2
875281,1,1,1,2,1,1,12,1,2,35,1,3,2,11200,2,0,2,2,2
875293,1,1,1,1,1,1,12,1,8,18,1,3,2,26000,2,0,2,2,2
875293,2,1,1,1,1,1,12,1,8,18,1,0,2,26000,2,0,2,2,2
875426,4,1,1,2,1,2,6,1,5,30,2,,2,4200,2,0,2,2,2
875431,1,1,1,1,1,1,12,1,2,40,2,,2,18000,2,0,2,2,2
875431,2,1,1,1,1,2,8,1,2,40,2,,2,8000,2,0,2,2,2
875439,1,1,1,1,1,2,10,1,1,36,2,,2,10000,2,0,2,2,2
875439,2,1,1,1,1,1,12,1,1,50,2,,2,14400,2,0,2,2,2
875449,1,1,1,1,1,1,12,1,1,50,2,,2,18000,2,0,2,2,2
875449,4,1,1,1,1,1,12,1,1,40,2,,2,12000,2,0,2,2,2
875514,1,1,1,1,1,1,12,1,6,45,1,10,1,16900,2,0,2,2,2
875542,1,1,1,2,1,1,12,1,5,25,2,,2,14000,2,0,2,2,2
875557,1,1,1,2,1,1,12,1,3,25,2,,2,11000,2,0,2,2,2
875602,1,1,1,1,1,1,12,1,6,40,2,,2,19500,2,0,2,2,2
875623,1,1,1,1,2,2,6,1,3,40,2,,2,6600,2,0,2,2,2
875635,1,1,1,1,1,1,12,1,8,40,2,,2,25000,2,0,2,2,2
875635,2,1,1,1,1,1,12,1,2,40,2,,2,28000,1,100,2,2,2
875649,3,1,1,1,2,1,12,1,2,36,2,,2,25000,2,0,2,2,2
875654,3,1,1,1,1,1,12,1,2,40,2,,2,15600,2,0,2,2,2
875658,1,1,1,1,1,1,12,1,4,40,2,,2,18000,2,0,2,2,2
875668,2,2,1,2,1,1,12,1,2,20,2,,2,11000,2,0,2,2,2
875679,1,1,1,1,1,1,12,1,7,38,2,,1,38000,2,0,2,1,2
875679,2,1,1,1,1,1,12,1,8,36,2,,1,23000,1,1540,2,2,2
875726,1,1,1,1,1,1,12,1,4,40,2,,2,18000,2,0,2,2,2
