nquest,varred,varreda,varredb,aspred
36321,2,,,2
36333,3,,8000,1
36378,2,,,2
36403,2,,,1
36409,2,,,3
36443,2,,,2
36450,2,,,2
36522,2,,,1
36524,2,,,3
36697,2,,,2
36893,2,,,1
37001,2,,,1
37011,2,,,2
37299,3,,400,1
37459,2,,,3
37521,2,,,1
37665,2,,,2
37677,5,,,1
37810,2,,,2
38014,2,,,1
38095,2,,,2
38106,2,,,1
38135,1,1700,,1
38272,2,,,1
38316,2,,,2
38349,2,,,2
38554,2,,,2
38877,2,,,2
38885,2,,,1
38939,2,,,1
38940,2,,,2
38957,2,,,2
38979,2,,,1
38992,2,,,2
39056,3,,3000,1
39086,2,,,2
39095,2,,,1
39218,2,,,2
39227,2,,,1
39284,2,,,2
39317,2,,,3
39318,2,,,3
39351,2,,,3
39488,2,,,2
39491,2,,,1
39697,2,,,2
50052,2,,,2
50060,2,,,1
50085,2,,,2
50231,2,,,2
50232,2,,,2
51013,2,,,2
51363,2,,,1
51444,2,,,1
51467,2,,,2
51544,2,,,1
51733,4,,,4
51895,2,,,1
52700,2,,,2
52718,2,,,1
52736,2,,,2
53008,2,,,2
53028,4,,,4
53086,3,,500,1
53109,2,,,1
53202,2,,,2
53234,2,,,2
53373,3,,7000,2
53380,3,,1000,2
53520,1,11000,,2
53549,2,,,1
53552,2,,,2
53564,2,,,1
53596,2,,,2
53871,2,,,2
53997,2,,,1
54143,2,,,2
55147,2,,,2
55308,4,,,4
55425,1,3000,,1
55430,2,,,1
55636,2,,,1
55774,2,,,1
56251,2,,,2
56465,2,,,2
56563,2,,,1
56582,3,,5000,1
56603,2,,,1
56624,2,,,2
56658,2,,,2
56677,2,,,1
56721,2,,,1
56761,2,,,2
56762,2,,,2
57027,4,,,3
57042,2,,,1
57138,2,,,1
57546,2,,,2
57547,2,,,2
57621,2,,,3
57670,3,,500,1
57779,2,,,2
57962,3,,8000,1
58366,2,,,2
60078,2,,,4
91067,3,,3000,2
91071,2,,,2
91074,2,,,2
91079,3,,20000,1
91081,2,,,1
91095,2,,,3
111052,2,,,2
138399,2,,,1
145007,2,,,2
178001,2,,,1
193016,2,,,4
213440,2,,,1
224048,2,,,1
230029,3,,700,1
230037,3,,500,1
237003,2,,,1
243067,2,,,2
244013,2,,,2
244058,2,,,2
250005,2,,,3
250010,2,,,4
250039,2,,,1
256015,3,,6000,2
279054,2,,,1
282083,3,,300,3
282089,2,,,2
284086,2,,,2
310002,2,,,2
310005,3,,4500,2
321009,2,,,2
330057,2,,,1
332080,2,,,1
333081,2,,,1
355063,2,,,2
365034,2,,,1
387029,2,,,1
389084,2,,,1
500001,2,,,2
500004,3,,500,2
500026,2,,,1
500090,2,,,1
500176,3,,5000,2
500669,2,,,2
500674,2,,,2
500726,2,,,2
501068,4,,,1
501082,2,,,1
501627,2,,,2
501694,2,,,1
501816,2,,,1
501874,2,,,1
502060,2,,,2
502355,2,,,1
502364,2,,,2
502772,2,,,1
503560,2,,,1
503561,2,,,2
503593,2,,,2
503674,2,,,1
503788,2,,,2
503931,2,,,1
503950,1,5000,,1
503981,2,,,2
504091,2,,,1
504157,2,,,2
504363,2,,,4
504380,2,,,2
504395,2,,,2
504453,2,,,1
504551,2,,,1
504584,3,,4000,1
504730,2,,,1
504792,2,,,1
504821,2,,,2
504885,2,,,1
504889,2,,,1
504921,2,,,1
504937,3,,2500,1
505022,3,,500,1
505167,2,,,2
505228,2,,,2
505243,2,,,2
505390,2,,,2
505407,2,,,1
505424,2,,,1
505517,2,,,1
505525,2,,,2
505534,2,,,4
505540,4,,,1
505576,4,,,1
505594,2,,,2
505606,2,,,1
505655,2,,,2
505672,2,,,2
505681,2,,,2
505768,2,,,1
505771,2,,,2
505806,3,,6000,4
505810,3,,30000,2
505818,2,,,1
505839,3,,2500,1
506025,2,,,1
506100,2,,,1
