nquest,quest,nquestp,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,vitgen,ngen,figli,nfigli,vitf,nfratsore,parnoit,ANCONV,contint,NCOMP,CAPI
865498,3,,1,1,1,1,1,1,1,1,2,,2,,1,1,,1988,3,4,1
865500,3,,2,1,2,1,2,1,3,1,1,1,2,,1,5,,1991,2,4,1
865504,3,,2,1,2,1,2,1,3,1,1,3,2,,1,2,,1998,3,2,1
865515,3,,1,1,1,1,,,,,2,,2,,2,,,,3,1,1
865680,3,,1,1,1,1,1,1,1,1,2,,1,3,1,4,,1964,2,2,1
865764,3,,1,1,1,1,,,,,2,,1,1,1,1,,,3,1,1
865780,3,,2,1,2,1,,,,,2,,2,,1,2,2,,3,2,1
865806,3,,2,1,4,1,3,1,3,1,1,4,2,,2,,,2002,3,4,1
865882,3,,3,1,3,1,,,,,2,,1,2,1,1,,,2,1,1
866028,3,,2,1,2,1,5,1,4,1,2,,1,2,1,3,,1978,1,2,1
866035,3,,1,1,1,1,1,1,1,1,2,,1,3,1,8,,1972,1,2,1
866041,3,,2,1,1,1,2,1,1,1,1,1,1,2,1,4,,1969,1,2,1
866071,3,,7,1,2,1,4,1,3,1,1,3,2,,1,3,,1998,2,4,1
866106,3,,2,1,2,1,,,,,2,,1,2,2,,,,2,1,1
866220,3,,4,1,4,1,4,1,4,1,2,,2,,2,,,1983,1,3,1
866382,3,,3,1,3,1,2,1,2,1,1,4,1,1,1,2,,1984,2,3,1
866386,3,,1,1,1,1,1,1,1,1,2,,1,3,1,4,,1967,1,2,1
866387,3,,3,1,2,1,,,,,1,1,1,1,1,1,2,,2,2,1
866452,3,,1,1,1,1,,,,,2,,2,,2,,,,1,1,1
866489,3,,1,1,1,1,,,,,2,,1,1,1,2,,,1,1,1
866507,3,,3,1,2,1,3,1,3,1,1,4,2,,1,3,,2001,2,4,1
866541,3,,7,2,7,2,,,,,2,,1,3,1,1,1,,3,1,1
866855,3,,2,1,2,1,,,,,1,2,2,,1,1,2,,1,1,1
866960,3,,2,1,2,1,2,1,1,1,2,,1,2,1,1,,1980,3,2,1
866985,3,,1,1,1,1,,,,,2,,2,,2,,,,2,1,1
867003,3,,2,1,2,1,2,1,2,1,2,,2,,1,2,,2010,2,3,1
867008,3,,2,1,2,1,2,1,1,1,2,,1,2,1,2,,1965,2,2,1
867019,3,,1,1,2,1,1,1,1,1,2,,2,,2,,,1958,1,2,1
867025,3,,1,1,1,1,1,1,1,1,2,,1,2,2,,,1970,1,2,1
867090,3,,2,1,1,1,,,,,2,,1,1,1,2,,,4,1,1
867104,3,,2,1,2,1,2,1,1,1,2,,1,6,1,10,,2013,1,3,1
867114,3,,1,1,2,1,,,,,2,,1,8,1,4,,,2,1,1
867201,3,,1,1,1,1,2,1,2,1,2,,1,2,1,2,,1978,2,2,1
867205,3,,4,1,2,1,4,1,3,1,1,4,2,,1,3,,2000,4,4,1
867275,3,,2,2,2,2,2,2,2,2,1,1,1,2,1,9,,1986,2,2,1
867318,3,,2,1,1,1,,,,,2,,2,,2,,,,1,1,0
867344,3,,2,1,3,1,5,1,4,1,1,1,2,,1,3,,1982,2,4,1
867373,3,,1,1,2,1,7,1,7,1,2,,1,2,1,2,,2006,1,2,1
867433,3,,1,1,1,1,,,,,2,,1,5,1,1,,,1,1,1
867462,3,,2,1,2,1,2,1,2,1,1,2,1,1,1,1,,1988,3,3,1
867498,3,,2,1,2,1,2,1,2,1,1,1,1,1,1,3,,1974,2,2,1
867505,3,,2,1,2,1,,,,,1,1,1,1,1,2,,,2,1,1
867522,3,,2,1,2,1,,,,,2,,1,1,1,1,,,1,2,1
867653,3,,3,2,3,2,3,2,3,2,1,2,1,2,1,3,,2000,6,2,1
867674,3,,7,2,2,2,,,,,1,1,2,,1,2,2,,1,1,1
867686,3,,2,1,3,1,,,,,2,,1,2,1,4,,,2,1,1
867784,3,,2,1,2,1,2,1,2,1,2,,2,,1,2,,1971,2,4,1
867799,3,,3,1,3,1,4,1,4,1,1,4,2,,1,1,,2016,2,2,1
867801,3,,3,1,3,1,,,,,2,,1,2,1,1,,,1,1,1
867914,3,,2,1,2,1,2,1,2,1,1,1,2,,1,15,,1994,2,5,1
867925,3,,2,1,2,1,,,,,2,,2,,2,,,,1,1,1
867929,3,,2,2,2,2,2,2,2,2,1,3,2,,1,6,,1998,1,7,1
867993,3,,2,1,4,1,,,,,1,1,2,,1,1,2,,1,1,1
868013,3,,2,1,2,1,2,1,2,1,2,,1,2,2,,,1961,1,2,1
868093,3,,4,1,4,1,4,1,2,1,1,2,2,,1,9,,1998,2,5,1
868098,3,,3,1,2,1,7,1,7,1,1,4,2,,1,2,,2010,2,4,1
868165,3,,1,1,1,1,1,1,1,1,2,,1,3,1,2,,1973,1,4,1
868231,3,,2,2,2,2,2,2,2,2,1,4,1,2,1,3,,2005,1,2,1
868264,3,,2,1,2,1,2,1,2,1,2,,2,,1,2,,1990,1,4,1
868280,3,,2,1,2,1,2,1,2,1,1,1,2,,1,8,,1989,1,4,1
868283,3,,2,1,2,1,1,1,1,1,1,2,2,,1,1,,2000,3,6,1
868294,3,,2,2,1,2,3,2,2,2,1,3,2,,1,7,,2008,2,4,1
868337,3,,2,1,1,1,2,1,2,1,2,,2,,2,,,1999,2,4,1
868406,3,,2,1,2,1,2,1,2,1,2,,2,,2,,,2005,1,4,1
868456,3,,7,1,7,1,,,,,2,,2,,1,2,2,,1,2,1
868463,3,,2,1,2,1,2,1,2,1,2,,1,1,1,3,,1981,2,3,1
868474,3,,2,1,2,1,2,1,3,1,1,1,2,,1,7,,1991,2,2,1
868478,3,,2,1,2,1,2,1,2,1,1,2,2,,1,4,,1986,6,4,1
868483,3,,2,1,2,1,1,1,1,1,2,,1,1,1,5,,1969,2,3,1
868489,3,,2,1,1,1,2,1,2,1,2,,1,1,1,2,,1987,1,3,1
868500,3,,1,1,1,1,,,,,2,,2,,2,,,,1,1,1
868504,3,,2,1,2,1,2,1,2,1,2,,2,,1,2,,1990,2,5,1
868505,3,,2,1,2,1,2,1,2,1,2,,2,,1,2,,1988,1,5,1
868564,3,,2,1,1,1,2,1,1,1,1,3,2,,1,5,,1985,1,4,1
868583,3,,1,1,1,1,2,1,1,1,2,,1,2,1,4,,1982,1,3,1
868697,3,,2,1,1,1,1,1,1,1,2,,1,2,1,1,,1972,2,2,1
868805,3,,1,1,2,1,3,1,4,1,1,4,2,,1,8,,2007,2,5,1
868843,3,,1,1,1,1,,,,,2,,2,,2,,2,,2,2,1
869003,3,,4,1,3,1,,,,,1,1,2,,2,,2,,1,1,1
869006,3,,2,1,4,1,4,1,4,1,2,,2,,2,,,2009,1,5,1
869019,3,,2,1,2,1,,,,,3,,2,,2,,2,,1,1,0
869021,3,,7,1,4,1,3,1,2,1,1,4,2,,1,3,,2009,2,4,1
869022,3,,3,1,2,1,2,1,2,1,1,2,1,1,1,1,,2011,2,2,1
869023,3,,3,1,3,1,,,,,1,2,2,,1,1,2,,1,1,1
869042,3,,2,1,2,1,2,1,3,1,1,3,2,,1,3,,2007,2,4,1
869043,3,,4,1,4,1,4,1,4,1,1,4,2,,1,2,,2009,2,4,1
871009,3,,1,1,1,1,1,1,1,1,2,,2,,1,3,,1990,1,4,1
871078,3,,1,1,1,1,,,,,2,,1,2,1,2,,,2,1,1
871085,3,,5,1,3,1,3,1,3,1,2,,1,2,1,6,,1981,1,2,1
871090,3,,1,1,1,1,1,1,1,1,2,,1,4,1,2,,1952,1,3,1
871145,3,,1,2,1,2,,,,,1,1,2,,1,4,2,,1,1,1
871191,3,,5,1,5,1,4,1,4,1,1,1,1,1,1,3,,2006,1,4,1
871218,3,,1,1,1,1,,,,,2,,1,2,1,2,,,1,3,1
