nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
913118,16284.716229,0,0,0,16250,16250,16250,0,0,0,0,0,0,0,0,0,0,34.71622896,0,0,0,34.71622896,34.71622896,0,0,0,3,2
913119,41021.50874,0,0,0,33800,33800,33800,0,0,0,0,0,0,0,0,0,0,7221.50874,7200,0,7200,21.508739973,21.508739973,0,0,0,8,4
913147,17266.174816,0,0,0,13650,13650,13650,0,0,0,0,0,0,0,0,0,0,3616.1748155,3600,0,3600,16.17481554,16.17481554,0,0,0,3,2
913151,65103.37916,0,0,0,45500,45500,45500,0,0,0,0,0,0,0,0,0,0,19603.37916,19800,0,19800,-196.6208401,149.2304521,0,0,345.85129216,10,5
913155,26053.665282,0,0,0,26050,26050,26050,0,0,0,0,0,0,0,0,0,0,3.6652815242,0,0,0,3.6652815242,3.6652815242,0,0,0,6,3
913156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
913157,17718.470558,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,6018.4705577,6000,0,6000,18.470557654,18.470557654,0,0,0,3,2
913158,11700,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
913159,15324.04654,0,0,0,11700,11700,11700,0,0,0,0,0,0,0,0,0,0,3624.0465401,3600,0,3600,24.046540144,24.046540144,0,0,0,3,2
913161,32609.89626,35100,35100,0,-2500,0,0,0,-2500,0,0,-2500,0,2500,0,0,0,9.8962601154,0,0,0,9.8962601154,9.8962601154,0,0,0,7,4
913165,22320,17520,17520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,4800,0,4800,0,0,0,0,0,5,3
913167,40005.171505,36400,36400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3605.1715045,3600,0,3600,5.1715045473,5.1715045473,0,0,0,8,4
