nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,fscoper1,carta,carte,usocart,cartdeb,cartdeb1,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,trading,DEPOSIT,NDEPOSIT
903046,2,,,1,1,2,,,,,,2,,,,,1,1,2,,580,2,,1,1
903052,,,,1,1,,,,,,,2,,,,,2,,2,,750,2,,1,1
903087,2,,,1,1,2,,,,,,2,,,,,1,1,2,,730,2,,1,1
903157,2,1,1,1,1,1,2,,,,,1,1,1,,,1,2,2,,300,1,2,1,2
903195,1,1,1,2,2,1,2,,,,,1,1,2,,,1,4,1,1,800,1,1,1,5
903255,2,,,2,2,1,2,,,,,1,2,2,,,1,2,2,,1500,1,2,1,6
903256,,,,,,,,,,,,2,,,,,1,1,2,,890,2,,2,0
903272,1,1,1,1,1,2,,,,,,2,,,,,1,1,2,,700,2,,1,1
903299,1,1,1,2,2,1,2,,,,,1,2,2,,,1,2,1,1,600,1,2,1,3
903302,2,,,1,1,2,,,,,,2,,,,,2,,2,,1400,2,,1,1
903358,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
903363,,,,1,1,,,,,,,2,,,,,1,1,2,,1000,2,,1,2
903368,,,,1,1,,,,,,,2,,,,,2,,1,1,500,2,,1,1
903373,,,,1,1,,,,,,,2,,,,,2,,2,,750,2,,1,1
903376,,,,1,1,,,,,,,2,,,,,1,1,2,,1600,2,,1,1
903424,1,1,1,2,2,1,2,,,,,1,1,1,,,1,1,1,1,1000,1,2,1,2
903428,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,2
903508,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
903523,2,,,1,1,2,,,,,,2,,,,,2,,2,,1000,2,,1,1
903613,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
903656,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
903660,2,,,1,1,3,,,,,,2,,,,,2,,2,,800,2,,1,1
903732,2,,,2,2,1,1,10,4000,4000,,2,,,,,1,2,2,,200,2,,1,2
903735,,,,,,,,,,,,1,1,1,,,2,,1,1,500,1,2,2,0
903742,2,,,1,1,2,,,,,,2,,,,,2,,2,,300,2,,1,1
903754,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1000,2,,1,1
903768,2,1,1,1,1,2,,,,,,1,1,2,,,1,2,2,,500,2,,1,2
903770,2,1,1,1,1,2,,,,,,2,,,,,1,2,2,,500,1,2,1,1
903873,2,,,2,2,2,,,,,,1,1,1,,,1,1,2,,200,2,,1,2
903904,,,,,,,,,,,,2,,,,,2,,2,,1000,2,,2,0
904014,,,,1,1,,,,,,,2,,,,,2,,2,,450,2,,1,1
904055,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
904058,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,1100,2,,1,1
904068,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,1000,2,,1,1
904104,2,,,2,2,1,2,,,,,2,,,,,1,1,2,,600,2,,1,2
904108,2,,,1,1,2,,,,,,1,2,1,,,1,2,2,,500,2,,1,1
904114,2,,,1,1,3,,,,,,2,,,,,2,,2,,300,2,,1,2
904116,2,,,2,2,2,,,,,,1,2,1,,,1,2,2,,100,2,,1,2
904128,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1500,2,,1,1
904160,,,,,,,,,,,,2,,,,,2,,2,,500,2,,2,0
904164,2,,,1,1,3,,,,,,1,1,2,,,1,2,2,,1200,2,,1,2
904209,2,,,1,1,2,,,,,,2,,,,,2,,2,,700,2,,1,1
904236,2,,,1,1,2,,,,,,2,,,,,2,,1,1,400,2,,1,1
904242,2,,,2,2,1,2,,,,,1,1,1,,,1,2,2,,400,1,2,1,2
904245,2,,,1,1,1,2,,,,,1,2,2,,,1,2,2,,200,1,1,1,1
904257,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
904259,2,,,1,1,2,,,,,,1,1,1,,,1,2,2,,600,2,,1,2
904261,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
904323,2,,,2,2,2,,,,,,1,1,2,,,1,1,1,1,300,2,,1,2
904480,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
904491,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
904510,1,1,1,2,2,2,,,,,,1,1,2,,,1,2,2,,900,1,2,1,3
904577,2,,,1,1,2,,,,,,2,,,,,1,1,2,,700,2,,1,1
904580,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
904583,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,400,1,2,1,1
904587,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
904723,2,1,1,1,1,2,,,,,,1,2,2,,,1,2,2,,600,1,2,1,1
904726,2,,,1,1,2,,,,,,2,,,,,1,2,2,,800,1,2,1,1
904730,2,,,1,1,2,,,,,,2,,,,,2,,2,,300,2,,1,2
904732,2,,,1,1,2,,,,,,2,,,,,2,,2,,250,2,,1,2
904735,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
904743,2,,,1,1,1,2,,,,,1,2,2,,,1,2,2,,1200,1,2,1,1
904805,2,,,1,1,1,2,,,,,1,1,2,,,1,3,1,3,3700,1,2,1,3
904807,2,1,1,2,2,2,,,,,,2,,,,,1,2,2,,400,2,,1,2
904816,2,,,1,1,3,,,,,,2,,,,,2,,2,,200,2,,1,1
904828,2,,,1,1,3,,,,,,2,,,,,1,1,1,1,300,2,,1,1
904878,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,1000,1,2,1,1
904888,,,,1,1,,,,,,,2,,,,,2,,1,1,300,2,,1,1
904902,2,,,2,2,3,,,,,,2,,,,,1,2,2,,1500,2,,1,2
904907,2,,,2,3,2,,,,,,1,1,3,1600,,1,3,2,,200,1,2,1,3
904927,2,,,1,1,1,2,,,,,1,1,2,,,1,1,2,,750,1,2,1,1
904944,1,1,1,2,2,1,2,,,,,1,1,2,,,1,2,2,,500,1,2,1,2
904945,2,,,1,1,1,2,,,,,1,2,2,,,1,2,2,,3000,1,2,1,2
904956,2,,,2,2,2,,,,,,2,,,,,1,2,2,,800,2,,1,2
905025,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
905067,2,1,1,2,2,2,,,,,,2,,,,,1,2,2,,250,2,,1,2
905069,2,1,1,1,1,2,,,,,,1,1,2,,,1,2,1,1,300,2,,1,1
905073,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
905076,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,200,2,,1,1
905085,2,1,1,1,1,3,,,,,,1,2,2,,,1,2,1,1,500,1,1,1,3
905113,2,,,2,2,2,,,,,,1,1,1,,,1,2,2,,500,1,2,1,2
905115,2,,,1,1,2,,,,,,2,,,,,2,,1,1,1000,2,,1,1
905119,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1200,2,,1,2
905122,2,,,2,2,2,,,,,,1,1,2,,,1,2,2,,500,1,2,1,2
905136,2,,,1,1,3,,,,,,2,,,,,1,2,2,,200,2,,1,1
905137,2,,,2,2,1,2,,,,,2,,,,,1,2,2,,1000,1,2,1,2
905140,2,,,1,1,2,,,,,,2,,,,,1,2,1,1,500,1,2,1,1
905156,2,,,2,2,1,1,2,500,0,,1,1,1,,,1,2,1,1,1000,1,2,1,2
905165,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,2
905170,2,1,1,1,1,2,,,,,,2,,,,,1,1,1,1,500,2,,1,1
905171,2,1,1,2,2,2,,,,,,1,1,2,,,1,2,1,2,600,2,,1,3
905213,,,,,,,,,,,,2,,,,,2,,2,,300,2,,2,0
905217,2,,,1,1,2,,,,,,2,,,,,1,2,2,,300,1,2,1,1
905220,2,,,1,1,2,,,,,,1,1,2,,,1,1,2,,300,1,2,1,1
905269,2,,,1,1,2,,,,,,2,,,,,2,,2,,350,2,,1,1
905311,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,1,2,1,1
905387,2,,,1,1,2,,,,,,2,,,,,2,,2,,1500,2,,1,1
905415,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,600,2,,1,2
905418,2,1,1,1,1,1,2,,,,,2,,,,,1,1,2,,1000,2,,1,1
905429,2,1,1,1,1,2,,,,,,1,1,1,,,1,1,2,,600,2,,1,1
905470,1,1,2,1,1,2,,,,,,1,1,2,,,1,1,2,,600,1,2,1,1
905472,2,,,1,1,2,,,,,,1,1,2,,,1,4,1,2,1000,1,2,1,1
905497,1,1,2,1,1,1,2,,,,,1,2,2,,,1,3,1,1,700,1,2,1,2
905635,2,,,1,1,2,,,,,,2,,,,,1,3,2,,700,2,,1,2
905640,2,,,2,2,2,,,,,,2,,,,,1,2,2,,1500,2,,1,4
905662,,,,,,,,,,,,2,,,,,2,,2,,750,2,,2,0
905718,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
905725,2,,,1,1,2,,,,,,1,2,1,,,1,2,2,,1000,2,,1,1
905726,2,,,1,1,1,2,,,,,2,,,,,1,1,1,2,800,1,2,1,1
905729,2,,,2,2,4,,,,,,1,2,2,,,1,2,2,,1050,1,2,1,2
905772,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
905836,2,,,1,1,2,,,,,,2,,,,,2,,2,,1000,2,,1,2
905847,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,1,1,500,2,,1,1
905851,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
905859,2,,,1,1,2,,,,,,2,,,,,1,2,2,,500,1,2,1,2
905913,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
905914,2,,,1,1,2,,,,,,2,,,,,2,,2,,700,2,,1,1
905922,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
905925,2,,,1,1,1,2,,,,,1,2,2,,,1,3,2,,600,1,2,1,3
906014,2,,,1,1,2,,,,,,2,,,,,1,1,2,,700,2,,1,1
906015,2,,,1,1,2,,,,,,2,,,,,1,1,2,,550,2,,1,1
906027,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
906031,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,1500,2,,1,1
906033,2,,,1,1,2,,,,,,2,,,,,2,,2,,1100,2,,1,1
906038,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1500,2,,1,1
906046,2,,,1,1,1,1,4,300,,1,2,,,,,1,1,2,,250,2,,1,1
906048,2,,,1,1,2,,,,,,2,,,,,2,,2,,1300,2,,1,1
906049,2,,,1,1,2,,,,,,2,,,,,2,,2,,1100,2,,1,1
906069,2,,,2,2,2,,,,,,2,,,,,2,,2,,1200,2,,1,2
906080,2,,,2,2,1,2,,,,,1,1,1,,,1,2,1,1,1200,1,2,1,2
906126,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
906164,2,,,2,2,2,,,,,,1,1,2,,,1,2,2,,500,2,,1,2
906200,2,,,1,1,3,,,,,,2,,,,,1,2,2,,300,2,,1,2
906210,2,,,1,1,2,,,,,,1,1,2,,,1,2,2,,300,2,,1,1
906265,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,900,2,,1,1
906266,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,750,2,,1,1
906276,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,600,2,,1,1
906329,1,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,500,2,,1,1
906344,1,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,900,2,,1,2
906362,1,1,1,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
906415,1,1,1,1,1,1,2,,,,,1,1,1,,,1,1,2,,80,2,,1,1
906427,2,,,1,1,2,,,,,,2,,,,,1,2,2,,2500,2,,1,2
906436,2,,,1,1,2,,,,,,2,,,,,1,1,2,,100,2,,1,1
906438,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,700,2,,1,1
906466,2,,,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
906503,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,2
906514,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
906532,2,,,1,1,2,,,,,,2,,,,,1,4,2,,300,2,,1,3
906538,1,1,2,1,1,2,,,,,,1,1,2,,,1,2,2,,500,1,2,1,1
906545,1,1,1,2,2,1,1,8,10000,1000,,1,1,2,,,1,2,1,1,500,1,1,1,2
906555,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,300,2,,1,1
906566,2,,,1,1,1,2,,,,,2,,,,,2,,2,,1000,2,,1,2
906624,2,,,1,1,2,,,,,,2,,,,,1,2,2,,100,1,2,1,2
906629,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
906633,,,,,,,,,,,,2,,,,,2,,2,,200,2,,2,0
906647,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
906690,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,600,2,,1,1
906726,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,2
906885,2,,,2,2,2,,,,,,2,,,,,1,4,2,,600,1,2,1,4
906887,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,1100,1,2,1,1
906891,2,,,1,1,1,2,,,,,2,,,,,2,,1,1,900,2,,1,1
906946,2,,,1,1,3,,,,,,1,1,2,,,1,1,2,,1500,2,,1,1
906948,2,,,2,2,2,,,,,,2,,,,,1,1,2,,1200,2,,1,2
907074,2,,,1,1,2,,,,,,2,,,,,2,,2,,700,2,,1,1
907076,2,,,1,1,2,,,,,,2,,,,,2,,2,,500,2,,1,1
907084,2,,,1,1,2,,,,,,2,,,,,2,,2,,1300,2,,1,1
907123,,,,1,1,,,,,,,2,,,,,2,,2,,600,2,,1,1
907282,2,,,2,2,3,,,,,,2,,,,,1,1,1,1,500,1,2,1,2
907338,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
907353,2,,,1,1,2,,,,,,2,,,,,1,2,1,1,1000,1,2,1,2
907373,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1100,2,,1,1
907387,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1200,2,,1,1
907389,,,,1,1,,,,,,,2,,,,,2,,2,,600,2,,1,1
907396,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
907397,2,,,1,1,2,,,,,,1,3,3,0,,1,3,2,,1700,1,2,1,1
907399,,,,1,1,,,,,,,2,,,,,1,1,2,,600,2,,1,1
907434,2,1,1,1,1,2,,,,,,2,,,,,1,1,1,1,2500,1,2,1,1
907437,2,,,1,1,3,,,,,,1,1,2,,,1,1,1,1,350,2,,1,1
