nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
853617,2,1,2,,,28,1,35,,2,,,,2009,,,,,,,
853765,1,1,2,,,21,1,31,,1,80,2,,,,65,75,75,50,2,
853801,1,1,2,,,20,1,40,,2,,,,2008,,,,,,,
853849,1,1,2,,,11,1,45,,2,,,,2003,,,,,,,
853854,1,1,2,,,19,1,20,,2,,,,1993,,,,,,,
853875,1,2,,8,3,20,1,21,,2,,2,,2010,,,,,,,
853875,2,3,2,,1,18,1,40,,2,,,,2013,,,,,,,
853911,1,2,2,,3,29,1,37,,2,,2,,2016,33,80,80,85,75,,
853911,2,1,2,,,19,1,40,,2,,,,2016,,,,,,,
853911,3,2,2,,3,19,1,36,,1,,2,,,30,,,,,,
853911,4,0,,,,,,,,2,,2,,,,,,,,,
854058,1,3,2,,1,25,1,35,,2,,,,2011,,,,,,,
854058,2,3,1,3,1,24,1,31,,1,100,2,,,31,67,80,80,75,,
854058,3,2,1,1,1,21,1,3,,1,,1,,,22,,,,,2,
854070,1,3,1,3,1,32,1,12,,1,100,2,,,39,67,70,70,50,2,
854070,2,0,,,,,,,,2,,1,,,,,,,,,
854074,1,3,2,,1,20,1,25,,2,,,,1990,,,,,,,
854074,2,2,2,,3,18,1,40,,2,,,,2007,,,,,,,
854078,1,5,1,2,3,15,1,10,,2,,,,1978,,,,,,,
854078,2,0,,,,,,,,2,,2,,,,,,,,,
854081,1,3,2,,3,21,1,38,,1,50,2,,,40,67,60,70,50,,
854081,2,2,2,,1,29,1,34,,1,,2,,,39,,,,,2,
854108,1,1,2,,,19,1,42,,2,,,,2003,,,,,,,
854108,2,1,2,,,20,1,40,,2,,,,2000,,,,,,,
854112,1,1,2,,,25,1,6,,1,100,2,,,,60,20,30,15,,
854163,1,2,2,,1,21,1,40,,2,,,,2003,,,,,,,
854163,2,3,2,,1,15,1,38,,1,,2,,,67,,,,,2,
854188,1,2,2,,1,14,1,20,,2,,,,1981,,,,,,,
854188,2,2,2,,1,15,1,40,,2,,,,1985,,,,,,,
854197,1,0,,,,,,,,2,,,,,,,,,,,
854197,2,1,,3,,22,1,8,,2,,1,,2014,,,,,,,
854223,1,0,,,,,,,,2,,2,,,,,,,,,
854223,2,3,2,,1,21,1,30,,2,,,,2003,,,,,,,
854223,3,0,,,,,,,,2,,2,,,,,,,,,
854306,1,1,2,,,17,1,38,,2,,,,2001,,,,,,,
854306,2,6,1,3,1,15,1,40,,2,,,,2008,,,,,,,
854346,1,3,,10,1,14,2,,,2,,1,10,2006,,,,,,,
854346,2,1,2,,,45,1,7,,1,,2,,,,,,,,,
854346,3,0,,,,,,,,2,,2,,,,,,,,,
854352,1,1,2,,,20,1,30,,2,,,,2000,,,,,,,
854385,1,0,,,,,,,,2,,2,,,,,,,,,
854385,2,3,2,,1,15,1,32,,2,,,,2005,,,,,,,
854393,1,0,,,,,,,,2,,,,,,,,,,,
854393,2,1,,1,,15,2,,,2,,1,30,2016,,,,,,,
854406,1,0,,,,,,,,2,,2,,,,,,,,,
854406,2,4,2,,1,18,1,37,,2,,,,1999,,,,,,,
854435,1,5,2,,3,20,1,28,,1,100,2,,,58,68,50,60,40,2,
854435,2,2,,12,3,17,1,6,,2,,2,,2012,,,,,,,
854435,3,2,2,,1,17,1,13,,1,,2,,,27,,,,,2,
854460,1,4,2,,1,15,1,30,,1,100,2,,,47,67,70,80,65,2,
854501,1,2,2,,1,20,1,17,,1,100,2,,,39,65,80,80,60,2,
854501,2,9,1,1,1,19,1,3,,1,,1,,,40,,,,,2,
854501,3,,,,,,,,,,,,,,,,,,,,
854501,4,,,,,,,,,,,,,,,,,,,,
854534,1,1,2,,,24,1,30,,2,,,,2001,,,,,,,
854534,2,1,2,,,22,1,24,,2,,,,2002,,,,,,,
854535,1,1,2,,,30,1,16,,1,100,2,,,,65,80,80,60,2,
854535,2,1,1,2,,19,2,,,2,,1,80,2016,,,,,,,
854535,3,0,,,,,,,,2,,2,,,,,,,,,
854554,1,0,,,,,,,,2,,,,,,,,,,,
854559,1,1,2,,,25,1,36,,2,,,,2010,,,,,,,
854559,2,0,,,,,,,,2,,2,,,,,,,,,
854559,3,1,2,,,31,1,2,,1,,2,,,,,,,,3,
854592,1,0,,,,,,,,2,,,,,,,,,,,
854593,1,5,,6,3,14,1,15,,2,,1,0,2010,,,,,,,
854593,2,0,,,,,,,,2,,1,50,,,,,,,,
854593,3,0,,,,,,,,2,,1,0,,,,,,,,
854593,4,0,,,,,,,,2,,2,,,,,,,,,
854714,1,1,2,,,12,1,50,,2,,,,1997,,,,,,,
854714,2,3,2,,1,12,1,48,,2,,,,2001,,,,,,,
854730,1,1,2,,,19,1,31,,1,100,2,,,,62,80,90,70,1,100
854730,2,1,1,12,,18,1,12,,2,,1,50,2007,,,,,,,
854730,3,0,,,,,,,,2,,2,,,,,,,,,
854762,1,1,2,,,18,1,26,,1,100,2,,,,67,30,40,30,,
854858,1,1,2,,,15,1,30,,1,100,2,,,,61,70,70,70,,
854858,2,1,1,10,,19,1,6,,2,,2,,1990,,,,,,,
854858,3,1,,3,,23,1,2,,2,,1,,2009,,,,,,,
854858,4,1,1,15,,30,2,,,2,,,,1982,,,,,,,
854862,1,6,2,,3,20,1,20,,1,100,2,,,25,60,70,80,60,,
854862,2,1,2,,,30,1,7,,1,,1,,,,,,,,,
854862,3,,,,,,,,,,,,,,,,,,,,
854862,4,,,,,,,,,,,,,,,,,,,,
854970,1,4,2,,3,14,1,42,,2,,,,2016,,,,,,,
855004,1,2,1,2,1,20,1,42,,2,,,,2015,,,,,,,
855035,1,1,2,,,14,1,50,,1,100,,,,,,,,,,
855035,2,3,2,,3,14,1,40,,2,,,,1994,,,,,,,
855035,3,1,2,,,27,1,17,,1,,2,,,,,,,,,
855088,1,0,,,,,,,,2,,,,,,,,,,,
855111,1,1,2,,,27,1,27,,1,100,2,,,,65,70,70,60,2,
855111,2,1,2,,,19,1,37,,1,,2,,,,,,,,,
855111,3,0,,,,,,,,2,,2,,,,,,,,,
855111,4,,,,,,,,,,,,,,,,,,,,
855135,1,2,2,,1,15,1,35,,1,0,2,,,27,60,70,70,65,2,
855135,2,3,1,1,1,21,2,,,1,,2,,,28,,,,,2,
855135,3,1,2,,,17,1,8,,1,,2,,,,,,,,2,
855181,1,2,2,,1,17,1,40,,2,,,,2002,,,,,,,
855181,2,1,2,,,15,1,40,,2,,,,2002,,,,,,,
855238,1,2,1,22,1,14,1,20,,1,100,2,,,39,67,50,60,40,2,
855238,2,1,2,,,14,1,41,,2,,2,,2016,,,,,,2,
855259,1,2,2,,3,21,1,40,,2,,,,2011,,,,,,,
855259,2,1,2,,,25,1,40,,2,,,,2015,,,,,,,
855268,1,1,2,,,14,1,40,,2,,,,2005,,,,,,,
855295,1,1,2,,,14,1,35,,2,,,,1995,,,,,,,
855308,1,2,2,,3,16,1,38,,2,,,,2015,,,,,,,
855308,2,1,2,,,19,1,36,,1,,2,,,,,,,,3,
855344,1,1,2,,,25,1,31,,1,100,2,,,,67,80,80,80,2,
855344,2,1,2,,,19,1,5,,1,,2,,,,,,,,2,
855371,1,1,2,,,20,1,25,,2,,2,,2010,,,,,,,
855371,2,2,2,,1,14,1,25,,2,,,,1990,,,,,,,
855371,3,1,2,,,15,1,25,,2,,,,1981,,,,,,,
855376,1,3,2,,3,20,1,35,,1,100,2,,,44,65,80,80,60,,
855376,2,2,2,,1,18,1,34,,1,,2,,,44,,,,,2,
855376,3,1,2,,,24,1,4,,1,,2,,,,,,,,,
855396,1,1,,19,,18,1,15,,2,,1,0,1998,,,,,,,
855396,2,2,2,,1,17,1,35,,1,,2,,,17,,,,,1,
855396,3,1,2,,,20,1,4,,1,,2,,,,,,,,2,
855396,4,0,,,,,,,,2,,2,,,,,,,,,
855396,5,0,,,,,,,,2,,2,,,,,,,,,
855402,1,0,,,,,,,,2,,2,,,,,,,,,
855402,2,2,2,,3,19,1,16,,1,,2,,,20,,,,,,
855402,3,,,,,,,,,,,,,,,,,,,,
855402,4,,,,,,,,,,,,,,,,,,,,
855402,5,,,,,,,,,,,,,,,,,,,,
855402,6,,,,,,,,,,,,,,,,,,,,
855402,7,,,,,,,,,,,,,,,,,,,,
855417,1,2,2,,1,18,1,29,,2,,,,2004,,,,,,,
855417,2,2,2,,1,18,1,27,,1,,2,,,35,,,,,2,
855468,1,7,1,3,1,16,1,15,,1,40,1,50,,25,65,50,60,40,2,
855468,2,3,1,1,1,18,1,15,,1,60,1,50,,30,65,50,60,40,2,
855534,1,1,2,,,16,1,35,,2,,,,1997,,,,,,,
855534,2,1,2,,,15,1,35,,2,,,,2002,,,,,,,
855681,1,2,2,,3,23,1,30,,2,,,,2009,,,,,,,
855681,2,0,,,,,,,,2,,2,,,,,,,,,
855685,1,2,2,,1,17,1,35,,2,,,,2001,,,,,,,
855685,2,0,,,,,,,,2,,2,,,,,,,,,
855780,1,2,1,1,1,20,1,14,,1,100,2,,,26,65,50,60,50,2,
855780,2,1,1,2,,27,1,10,,1,80,2,,,,68,60,70,50,2,
855780,3,,,,,,,,,,,,,,,,,,,,
855780,4,,,,,,,,,,,,,,,,,,,,
855790,1,2,2,,1,20,1,38,,2,,,,2015,,,,,,,
855790,2,3,2,,1,16,1,40,,2,,,,2007,,,,,,,
855792,1,1,2,,,26,1,34,,1,100,2,,,,68,70,70,60,2,
855792,2,3,2,,3,20,1,40,,2,,2,,2016,40,,,,,2,
855809,1,2,1,20,1,12,2,,,2,,,,1960,,,,,,,
855809,2,2,2,,1,12,1,20,,2,,,,1980,,,,,,,
855839,1,10,2,,3,15,1,38,,1,100,2,,,29,61,70,80,65,2,
855839,2,7,2,,1,21,1,23,,1,100,2,,,26,65,70,80,65,,
855839,3,0,,,,,,,,2,,2,,,,,,,,,
855839,4,,,,,,,,,,,,,,,,,,,,
855991,1,2,2,,3,20,1,40,,2,,,,2012,,,,,,,
855991,2,2,2,,3,16,1,40,,1,,2,,,44,,,,,,
856128,1,1,1,4,,20,1,20,,2,,2,,2002,,,,,,,
856128,2,1,2,,,16,1,41,,2,,,,2000,,,,,,,
856134,1,3,1,5,3,27,1,21,,1,100,2,,,,,,,,,
856134,2,2,1,2,1,22,1,40,,2,,,,2014,,,,,,,
856134,3,0,,,,,,,,2,,2,,,,,,,,,
856150,1,2,2,,3,19,1,55,,2,,,,2015,,,,,,,
856150,2,1,2,,,20,1,23,,2,,,,1992,,,,,,,
856177,1,6,1,1,3,14,1,40,,2,,,,2001,,,,,,,
856177,2,1,2,,,23,1,37,,1,,2,,,,,,,,3,
856218,1,1,1,3,,20,1,15,,1,60,1,50,,,66,60,70,50,2,
856218,2,3,1,3,1,18,1,20,,1,,2,,,18,,,,,2,
856218,3,0,,,,,,,,2,,2,,,,,,,,,
856218,4,,,,,,,,,,,,,,,,,,,,
856297,1,1,2,,,27,1,18,,1,100,2,,,,70,40,50,30,,
856297,2,1,2,,,26,1,13,,1,,2,,,,,,,,3,
856297,3,0,,,,,,,,2,,2,,,,,,,,,
856297,4,,,,,,,,,,,,,,,,,,,,
856322,1,1,2,,,12,1,20,,2,,,,1986,,,,,,,
856327,1,4,2,,1,22,1,40,,2,,,,2014,,,,,,,
856328,1,4,2,,1,26,1,18,,1,100,2,,,43,67,60,60,50,2,
856328,2,,,,,,,,,,,,,,,,,,,,
856328,3,,,,,,,,,,,,,,,,,,,,
856363,1,1,2,,,14,1,15,,2,,,,1961,,,,,,,
856363,2,5,2,,1,14,1,30,,2,,,,1988,,,,,,,
856374,1,1,2,,,30,1,18,,2,,,,1995,,,,,,,
856374,2,2,2,,3,21,1,38,,2,,,,1999,,,,,,,
856430,1,1,2,,,20,1,30,,1,100,2,,,,70,70,70,60,,
856674,1,2,2,,1,26,1,33,,2,,,,1991,,,,,,,
856674,2,1,2,,,19,1,30,,2,,,,1983,,,,,,,
856688,1,3,2,,1,21,1,30,,1,100,2,,,21,67,70,72,70,1,72
856688,2,3,2,,1,16,1,30,,1,,2,,,35,,,,,2,
856688,3,0,,,,,,,,2,,2,,,,,,,,,
856688,4,,,,,,,,,,,,,,,,,,,,
856708,1,1,2,,,22,1,40,,2,,,,2015,,,,,,,
856708,2,2,2,,1,19,1,12,,2,,,,1981,,,,,,,
856708,3,0,,,,,,,,2,,1,,,,,,,,,
856731,1,4,2,,1,25,1,42,,1,100,2,,,50,70,80,90,70,2,
856731,2,2,2,,1,25,1,33,,1,,2,,,26,,,,,2,
856731,3,2,2,,2,24,1,,6,1,,2,,,24,,,,,,
856731,4,0,,,,,,,,2,,2,,,,,,,,,
856759,1,2,2,,1,27,1,34,,1,90,2,,,29,67,80,85,70,2,
856963,1,2,1,10,1,30,1,15,,2,,,,1990,,,,,,,
856963,2,5,2,,1,18,1,30,,2,,,,1979,,,,,,,
857044,1,0,,,,,,,,2,,,,,,,,,,,
857107,1,2,2,,1,26,1,33,,1,100,2,,,47,68,80,80,70,,
857107,2,1,2,,,20,1,36,,1,100,2,,,,63,80,80,70,2,
857172,1,1,2,,,22,1,30,,2,,,,1998,,,,,,,
857172,2,1,2,,,20,1,40,,2,,,,2008,,,,,,,
857273,1,1,2,,,21,1,30,,1,100,2,,,,65,80,90,70,1,80
857273,2,0,,,,,,,,2,,2,,,,,,,,,
857273,3,0,,,,,,,,2,,2,,,,,,,,,
857273,4,0,,,,,,,,2,,2,,,,,,,,,
857273,5,,,,,,,,,,,,,,,,,,,,
857353,1,1,1,1,,28,1,30,,2,,,,2004,,,,,,,
857353,2,1,2,,,45,1,5,,2,,2,,2007,,,,,,,
857398,1,2,2,,2,20,1,19,,1,60,2,,,45,67,40,70,30,,
857398,2,3,2,,2,18,1,41,,2,,,,2004,,,,,,,
857466,1,2,1,10,1,28,1,18,,1,100,2,,,40,67,50,70,45,1,60
857466,2,1,2,,,23,1,34,,1,,2,,,,,,,,,
857467,1,3,1,8,1,14,1,25,,1,80,2,,,45,65,80,85,70,2,
857467,2,2,1,3,3,14,1,20,,2,,,,1998,,,,,,,
857467,3,0,,,,,,,,2,,1,,,,,,,,,
857467,4,1,2,,,23,1,3,,1,,2,,,,,,,,3,
857514,1,1,2,,,32,1,2,,1,60,1,30,,,70,50,70,30,2,
857514,2,1,2,,,20,1,14,,1,,2,,,,,,,,2,
857514,3,0,,,,,,,,2,,2,,,,,,,,,
857521,1,5,1,6,1,24,2,,,1,20,1,10,,34,70,10,30,5,2,
857521,2,0,,,,,,,,2,,2,,,,,,,,,
857549,1,0,,,,,,,,2,,,,,,,,,,,
857621,1,2,2,,1,16,1,35,,2,,,,1990,,,,,,,
857621,2,3,2,,1,17,1,15,,1,90,2,,,53,65,90,95,60,2,
857670,1,4,2,,1,20,1,41,,2,,,,2013,,,,,,,
857679,1,4,2,,3,19,1,45,,1,100,2,,,43,66,70,70,50,,
857679,2,1,1,5,,24,1,39,,1,100,2,,,,67,80,90,70,2,
857718,1,3,2,,1,30,1,19,,2,,,,1991,,,,,,,
857741,1,3,1,2,1,15,1,42,,2,,,,2008,,,,,,,
857741,2,0,,,,,,,,2,,2,,,,,,,,,
857856,1,3,1,2,1,14,1,15,,1,100,2,,,17,67,70,70,60,2,
857856,2,3,,4,1,15,1,5,,2,,1,,2013,,,,,,,
857856,3,0,,,,,,,,2,,2,,,,,,,,,
857856,4,1,,2,,18,1,2,,2,,1,,2015,,,,,,,
857914,1,0,,,,,,,,2,,,,,,,,,,,
858214,1,1,,4,,23,1,10,,2,,1,40,2013,,,,,,,
858214,2,0,,,,,,,,2,,1,,,,,,,,,
858214,3,,,,,,,,,,,,,,,,,,,,
858214,4,,,,,,,,,,,,,,,,,,,,
858238,1,1,2,,,26,1,7,,1,80,2,,,,70,80,80,70,2,
858353,1,2,1,2,3,20,1,26,,1,100,2,,,36,68,70,80,60,,
858353,2,3,2,,1,23,1,30,,1,,2,,,45,,,,,2,
858353,3,0,,,,,,,,2,,2,,,,,,,,,
858353,4,,,,,,,,,,,,,,,,,,,,
858445,1,3,,3,1,25,1,20,,2,,1,10,2013,,,,,,,
858474,1,1,2,,,30,1,35,,2,,,,2005,,,,,,,
858474,2,2,2,,1,27,1,35,,2,,,,2005,,,,,,,
858481,1,3,2,,1,24,1,35,,2,,,,1984,,,,,,,
858534,1,1,2,,,20,1,23,,1,20,2,,,,65,50,60,40,1,70
858534,2,5,2,,1,16,1,16,,1,,2,,,42,,,,,2,
858534,3,,,,,,,,,,,,,,,,,,,,
858534,4,,,,,,,,,,,,,,,,,,,,
858534,5,,,,,,,,,,,,,,,,,,,,
858712,1,1,2,,,23,1,20,,1,10,2,,,,65,60,70,60,2,
858712,2,0,,,,,,,,2,,2,,,,,,,,,
858712,3,0,,,,,,,,2,,2,,,,,,,,,
858712,4,0,,,,,,,,2,,2,,,,,,,,,
858735,1,1,2,,,17,1,28,,1,50,1,40,,,67,60,65,55,,
858735,2,0,,,,,,,,2,,2,,,,,,,,,
858735,3,0,,,,,,,,2,,1,,,,,,,,,
858735,4,0,,,,,,,,2,,2,,,,,,,,,
858811,1,1,2,,,26,1,25,,1,100,2,,,,68,70,70,60,1,80
858811,2,1,1,4,,30,1,10,,1,,2,,,,,,,,2,
858811,3,0,,,,,,,,2,,2,,,,,,,,,
858811,4,0,,,,,,,,2,,2,,,,,,,,,
859244,1,1,2,,,24,1,32,,2,,,,1994,,,,,,,
859244,2,0,,,,,,,,2,,,,,,,,,,,
859261,1,1,2,,,20,1,36,,1,100,2,,,,65,70,70,65,1,80
859261,2,1,2,,,20,1,33,,1,,2,,,,,,,,1,
859261,3,3,2,,3,22,1,3,,1,,1,,,25,,,,,,
859261,4,0,,,,,,,,2,,1,,,,,,,,,
859293,1,10,2,,1,44,1,35,,2,,,,2013,,,,,,,
859321,1,2,1,1,3,20,1,22,,1,0,2,,,33,67,70,75,60,,
859321,2,1,2,,,20,1,10,,2,,2,,1995,,,,,,,
859321,3,0,,,,,,,,2,,2,,,,,,,,,
859360,1,1,1,2,,18,1,5,,1,100,2,,,,,,,,,
859360,2,1,2,,,18,1,15,,1,,2,,,,,,,,2,
859360,3,,,,,,,,,,,,,,,,,,,,
859360,4,,,,,,,,,,,,,,,,,,,,
859360,5,,,,,,,,,,,,,,,,,,,,
859449,1,20,1,1,1,18,1,41,,2,,,,2006,,,,,,,
859449,2,4,1,3,3,17,1,16,,2,,,,1998,,,,,,,
859456,1,3,2,,1,20,1,31,,1,100,2,,,32,60,75,80,70,,
859456,2,1,2,,,26,1,25,,1,100,2,,,,65,75,80,70,,
859456,3,0,,,,,,,,2,,1,,,,,,,,,
859456,4,0,,,,,,,,2,,2,,,,,,,,,
859459,1,3,2,,1,20,1,38,,1,100,2,,,41,60,70,71,60,2,
859459,2,3,2,,3,15,1,36,,1,,2,,,39,,,,,,
859459,3,1,2,,,19,1,6,,1,,2,,,,,,,,2,
859459,4,0,,,,,,,,2,,2,,,,,,,,,
859507,1,0,,,,,,,,2,,2,,,,,,,,,
859507,2,4,,3,1,18,1,19,,1,,1,,,,,,,,,
859507,3,0,,,,,,,,2,,1,,,,,,,,,
859507,4,,,,,,,,,,,,,,,,,,,,
859507,5,,,,,,,,,,,,,,,,,,,,
859573,1,4,1,5,3,19,1,10,,1,50,1,10,,32,65,40,50,40,3,
859573,2,2,1,10,3,17,2,,,2,,2,,2010,,,,,,,
859573,3,0,,,,,,,,2,,1,70,,,,,,,,
859573,4,0,,,,,,,,2,,2,,,,,,,,,
859587,1,1,,10,,19,2,,,2,,1,1,2015,,,,,,,
859587,2,1,2,,,28,1,15,,1,100,2,,,,65,60,70,60,5,
859587,3,,,,,,,,,,,,,,,,,,,,
859587,4,,,,,,,,,,,,,,,,,,,,
859587,5,,,,,,,,,,,,,,,,,,,,
859588,1,1,1,1,,18,1,5,,1,30,1,10,,,70,50,50,50,3,
859588,2,1,2,,,15,2,,,2,,1,10,2002,,,,,,,
859588,3,,,,,,,,,,,,,,,,,,,,
859588,4,,,,,,,,,,,,,,,,,,,,
859588,5,,,,,,,,,,,,,,,,,,,,
859592,1,1,2,,,29,1,30,,1,100,2,,,,65,100,100,70,2,
859592,2,1,2,,,31,1,28,,1,,2,,,,,,,,2,
859592,3,1,2,,,24,1,7,,1,,2,,,,,,,,,
859592,4,0,,,,,,,,2,,1,,,,,,,,,
859592,5,0,,,,,,,,2,,1,,,,,,,,,
859597,1,1,2,,,25,1,28,,1,100,2,,,,67,40,40,40,,
859611,1,1,2,,,29,1,32,,1,100,2,,,,65,70,80,60,2,
859611,2,1,1,3,,25,1,28,,1,,2,,,,,,,,2,
859616,1,1,1,2,,18,1,30,,1,100,2,,,,65,30,50,20,,
859696,1,0,,,,,,,,2,,,,,,,,,,,
859908,1,2,2,,1,20,1,36,,1,100,2,,,30,66,80,82,70,2,
859913,1,2,1,2,1,16,1,24,,1,100,2,,,37,70,50,51,50,2,
859920,1,1,1,4,,16,1,9,,2,,1,50,2013,,,,,,,
859920,2,1,2,,,16,1,18,,1,,2,,,,,,,,3,
859920,3,0,,,,,,,,2,,2,,,,,,,,,
859920,4,,,,,,,,,,,,,,,,,,,,
859920,5,,,,,,,,,,,,,,,,,,,,
859946,1,0,,,,,,,,2,,1,10,,,,,,,,
859946,2,4,1,2,1,17,1,15,,2,,,,2005,,,,,,,
859946,3,0,,,,,,,,2,,1,,,,,,,,,
859946,4,,,,,,,,,,,,,,,,,,,,
859993,1,1,2,,,25,1,20,,1,100,2,,,,66,40,50,30,,
860092,1,2,2,,1,24,1,40,,2,,,,1992,,,,,,,
860092,2,1,2,,,30,1,40,,2,,,,2004,,,,,,,
860095,1,1,2,,,31,1,18,,1,100,2,,,,70,60,60,50,2,
860127,1,3,2,,1,24,1,12,,1,100,2,,,30,70,80,90,60,2,
860164,1,11,2,,1,20,1,10,,1,80,1,80,,27,75,30,30,20,2,
860182,1,2,2,,3,11,1,15,,2,,,,1963,,,,,,,
860328,1,0,,,,,,,,2,,,,,,,,,,,
860353,1,1,2,,,20,2,,,1,50,1,50,,,67,80,80,60,2,
860353,2,1,2,,,43,2,,,1,50,2,,,,65,100,100,80,2,
860353,3,,,,,,,,,,,,,,,,,,,,
860353,4,,,,,,,,,,,,,,,,,,,,
860381,1,1,2,,,14,1,40,,2,,,,2004,,,,,,,
860381,2,2,2,,1,14,1,35,,2,,,,2004,,,,,,,
860525,1,1,2,,,22,1,27,,1,100,2,,,,65,50,80,30,,
860525,2,1,2,,,25,1,24,,1,,2,,,,,,,,,
860525,3,0,,,,,,,,2,,2,,,,,,,,,
860525,4,0,,,,,,,,2,,2,,,,,,,,,
860573,1,1,,5,,20,1,5,,2,,1,50,2012,,,,,,,
860573,2,1,2,,,25,1,4,,1,,2,,,,,,,,2,
860684,1,1,2,,,15,1,15,,2,,,,1997,,,,,,,
860684,2,0,,,,,,,,2,,,,,,,,,,,
860688,1,1,2,,,18,1,36,,2,,,,2008,,,,,,,
860688,2,1,2,,,30,1,36,,1,,2,,,,,,,,3,
860688,3,1,2,,,27,1,8,,1,,2,,,,,,,,,
860704,1,3,2,,1,20,1,26,,1,50,2,,,30,67,55,60,50,1,60
860704,2,3,2,,1,22,1,23,,1,,2,,,32,,,,,1,
860704,3,0,,,,,,,,2,,2,,,,,,,,,
860704,4,,,,,,,,,,,,,,,,,,,,
860726,1,4,1,4,1,17,1,20,,1,50,1,45,,48,65,45,50,40,2,
860757,1,1,2,,,18,1,30,,2,,,,1991,,,,,,,
860757,2,0,,,,,,,,2,,2,,,,,,,,,
860757,3,0,,,,,,,,2,,,,,,,,,,,
860780,1,1,2,,,15,1,18,,2,,,,2008,,,,,,,
860780,2,0,,,,,,,,2,,2,,,,,,,,,
860780,3,0,,,,,,,,2,,2,,,,,,,,,
860783,1,0,,,,,,,,2,,,,,,,,,,,
860787,1,1,2,,,10,1,20,,2,,,,2004,,,,,,,
860799,1,3,2,,3,18,1,25,,1,80,,,,,,,,,,
860799,2,3,2,,3,20,1,30,,2,,2,,2015,,,,,,,
860799,3,0,,,,,,,,2,,2,,,,,,,,,
860799,4,0,,,,,,,,2,,2,,,,,,,,,
860820,1,3,2,,1,16,1,10,,1,100,2,,,20,70,70,70,65,2,
860820,2,3,2,,1,16,1,13,,1,,2,,,25,,,,,2,
860826,1,1,2,,,17,1,26,,1,100,2,,,,65,50,60,50,2,
860826,2,0,,,,,,,,2,,,,,,,,,,,
860900,1,0,,,,,,,,2,,2,,,,,,,,,
860900,2,1,2,,,18,1,38,,1,,2,,,,,,,,2,
860929,1,2,2,,1,15,1,30,,2,,,,1990,,,,,,,
860940,1,5,2,,3,20,1,25,,1,5,2,,,35,73,20,35,20,,
860940,2,3,2,,2,22,1,38,,1,,2,,,34,,,,,,
860963,1,2,1,4,1,21,1,18,,2,,2,,2010,,,,,,,
860977,1,2,1,15,1,15,2,,,2,,2,,1996,,,,,,,
860977,2,3,,4,1,14,1,15,,2,,1,,2013,,,,,,,
860977,3,2,,2,1,16,2,,,2,,1,,2016,,,,,,,
860985,1,2,2,,2,16,1,35,,1,100,2,,,25,65,40,50,40,,
860985,2,1,2,,,20,1,20,,1,,2,,,,,,,,2,
860985,3,2,2,,1,27,1,5,,1,,2,,,27,,,,,2,
860985,4,2,2,,1,21,1,5,,1,,2,,,21,,,,,2,
861061,1,1,2,,,31,1,24,,1,100,2,,,,68,70,75,60,1,75
861061,2,1,2,,,24,1,26,,1,100,2,,,,68,70,75,60,1,75
861061,3,0,,,,,,,,2,,2,,,,,,,,,
861061,4,,,,,,,,,,,,,,,,,,,,
861065,1,4,2,,1,24,1,35,,2,,,,1999,,,,,,,
861065,2,0,,,,,,,,2,,2,,,,,,,,,
861272,1,0,,,,,,,,2,,2,,,,,,,,,
861272,2,3,2,,1,15,1,25,,1,,2,,,47,,,,,2,
861272,3,0,,,,,,,,2,,2,,,,,,,,,
861452,1,1,2,,,21,1,6,,2,,,,1987,,,,,,,
861452,2,0,,,,,,,,2,,,,,,,,,,,
861471,1,3,2,,2,22,1,5,,1,100,2,,,51,67,50,60,40,,
861471,2,2,2,,1,28,1,20,,1,,2,,,51,,,,,2,
861471,3,,,,,,,,,,,,,,,,,,,,
861502,1,2,2,,1,22,1,30,,2,,,,1995,,,,,,,
861508,1,0,,,,,,,,2,,2,,,,,,,,,
861508,2,0,,,,,,,,2,,1,90,,,,,,,,
861578,1,3,,2,1,20,2,,,2,,1,50,2015,,,,,,,
861578,2,0,,,,,,,,2,,,,,,,,,,,
861578,3,1,1,10,,22,1,3,,1,,2,,,,,,,,2,
861581,1,0,,,,,,,,2,,2,,,,,,,,,
861581,2,1,2,,,20,1,37,,2,,2,,2016,,58,60,60,60,,
861581,3,1,1,2,,30,1,2,,1,,1,,,,,,,,2,
861581,4,0,,,,,,,,2,,1,,,,,,,,,
861584,1,1,2,,,40,1,27,,2,,,,2011,,,,,,,
861584,2,1,2,,,29,1,33,,2,,,,1994,,,,,,,
861584,3,1,,5,,35,1,5,,2,,1,,2014,,,,,,,
861584,4,1,,3,,35,2,,,2,,1,,2015,,,,,,,
861731,1,1,2,,,26,1,15,,1,99,2,,,,70,60,80,60,1,60
861752,1,0,,,,,,,,2,,,,,,,,,,,
861752,2,2,,10,1,16,2,,,2,,1,,2005,,,,,,,
861752,3,1,,8,,16,2,,,2,,1,,2010,,,,,,,
861752,4,1,,10,,16,2,,,2,,2,,2008,,,,,,,
861850,1,1,2,,,17,1,33,,2,,,,2014,,,,,,,
861850,2,0,,,,,,,,2,,2,,,,,,,,,
861850,3,1,,3,,20,1,4,,2,,1,,2014,,,,,,,
861949,1,1,2,,,18,1,30,,1,100,2,,,,63,70,80,60,2,
861949,2,1,2,,,24,1,33,,1,,2,,,,,,,,,
