nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
912840,1,2,2,,3,26,1,40,,2,,,,2013,,,,,,,
912840,2,1,2,,,30,1,28,,2,,,,2005,,,,,,,
912841,1,2,2,,1,16,1,36,,2,,,,1994,,,,,,,
912848,1,4,1,10,3,18,1,20,,2,,1,20,2008,,,,,,,
912848,2,3,,5,1,18,1,5,,2,,1,,2012,,,,,,,
912848,3,2,2,,1,18,1,8,,1,,2,,,20,,,,,2,
912849,1,1,2,,,21,1,20,,1,100,2,,,,70,25,25,20,,
912849,2,1,2,,,23,1,35,,2,,,,2013,,,,,,,
912854,1,1,2,,,14,1,40,,2,,,,2004,,,,,,,
912854,2,0,,,,,,,,2,,2,,,,,,,,,
912854,3,1,,5,,18,1,5,,2,,1,50,2016,,,,,,,
912861,1,1,2,,,20,1,30,,2,,,,1997,,,,,,,
912861,2,1,2,,,20,1,30,,2,,,,1997,,,,,,,
912870,1,1,2,,,25,1,19,,2,,,,2007,,,,,,,
912870,2,3,2,,1,25,1,35,,2,,,,2007,,,,,,,
912883,1,4,2,,1,27,1,38,,2,,,,2013,,,,,,,
912883,2,2,,20,1,25,1,1,,2,,1,,2017,,,,,,,
912883,3,0,,,,,,,,2,,1,,,,,,,,,
912883,4,,,,,,,,,,,,,,,,,,,,
912883,5,0,,,,,,,,2,,1,,,,,,,,,
912888,1,1,,1,,19,1,39,,2,,2,,2015,,,,,,,
912888,2,1,2,,,19,1,34,,1,,2,,,,,,,,2,
912888,3,0,,,,,,,,2,,2,,,,,,,,,
912888,4,0,,,,,,,,2,,2,,,,,,,,,
912891,1,3,2,,1,19,1,37,,2,,,,2001,,,,,,,
912891,2,4,2,,1,17,1,38,,2,,,,1989,,,,,,,
912892,1,5,2,,1,13,1,42,,1,100,2,,,50,61,95,95,85,,
912896,1,2,2,,1,16,1,21,,1,0,2,,,43,65,100,100,90,2,
912896,2,3,,10,3,18,1,1,,2,,1,,2006,,,,,,,
912896,3,,,,,,,,,,,,,,,,,,,,
912896,4,,,,,,,,,,,,,,,,,,,,
912897,1,3,2,,3,22,1,42,,1,100,1,0,,57,72,70,80,65,,
912897,2,2,2,,3,15,1,13,,1,100,2,,,63,75,0,0,0,,
