nquest,anmutuo31,anmutuo32,anmutuo33,anmutuo34,debgar31_1,debgar32_1,debgar33_1,debgar34_1,debgar31_2,debgar32_2,debgar33_2,debgar34_2,debgar31_3,debgar32_3,debgar33_3,debgar34_3,debgar31_4,debgar32_4,debgar33_4,debgar34_4,debgar31_5,debgar32_5,debgar33_5,debgar34_5,debm31,debm32,debm33,debm34,debpers31,debpers32,debpers33,debpers34,debrf31,debrf32,debrf33,debrf34,mutuodu31,mutuodu32,mutuodu33,mutuodu34,mutuoin31,mutuoin32,mutuoin33,mutuoin34,taeg11,taeg12,taeg13,taeg14,tdebita31,tdebita32,tdebita33,tdebita34,tipotax31,tipotax32,tipotax33,tipotax34,tmutuoab31,tmutuoab32,tmutuoab33,tmutuoab34
719963,2015,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,3,,,,15000,,,,5,,,,6840,,,,1,,,,8160,,,
720163,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,4,,,,,,,,1,,,,10,,,,30000,,,,12,,,,25800,,,,1,,,,4200,,,
720209,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,2,,,,3,,,,1500,,,,,,,,50,,,,3,,,,700,,,
721548,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,1,,,,7,,,,14500,,,,,,,,14000,,,,3,,,,1100,,,
722310,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,18000,,,,7.3,,,,16000,,,,1,,,,2000,,,
722331,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,2,,,,15000,,,,8.61,,,,12000,,,,1,,,,2700,,,
723207,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,3,,,,10000,,,,6,,,,1000,,,,1,,,,3600,,,
728148,2016,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,1,,,,5,,,,13200,,,,3,,,,10560,,,,1,,,,2640,,,
728493,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,4,,,,1,,,,2,,,,4,,,,8000,,,,,,,,4000,,,,3,,,,2800,,,
728547,2014,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,10000,,,,5,,,,3000,,,,1,,,,3000,,,
730901,2016,,,,0,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,2,,,,4,,,,8000,,,,4,,,,6000,,,,1,,,,2000,,,
732013,2015,,,,1,,,,0,,,,0,,,,0,,,,0,,,,1,,,,,,,,2,,,,5,,,,8500,,,,7.9,,,,6486,,,,1,,,,2100,,,
733216,2012,,,,0,,,,1,,,,0,,,,0,,,,0,,,,4,,,,,,,,2,,,,10,,,,10000,,,,4,,,,5000,,,,1,,,,1500,,,
