nquest,motusc,annoenus,nordp
897893,4,2015,3
897935,1,2016,1
898053,4,2016,2
898053,4,2016,3
898071,1,2016,2
898590,1,2015,2
898590,2,2015,3
898674,4,2016,3
898678,3,2016,3
899500,4,2016,5
899539,1,2016,1
899546,4,2016,3
899546,4,2016,4
900597,1,2015,2
900614,4,2016,3
900638,4,2015,2
900638,4,2015,3
900638,4,2015,4
900638,4,2015,5
900732,3,2016,2
900829,4,2016,4
900829,4,2016,5
901445,1,2015,2
901582,3,2015,3
901608,1,2016,2
901608,5,2015,3
901635,5,2015,3
901635,5,2015,4
901761,3,2015,5
901767,3,2016,2
901767,3,2016,3
901879,5,2015,4
901879,5,2015,6
901879,5,2015,9
901955,5,2015,3
901955,5,2015,4
901965,1,2016,2
902050,5,2015,2
902575,4,2016,3
902575,5,2016,6
902575,5,2016,7
902575,5,2016,8
902869,4,2016,3
902916,1,2016,4
903045,4,2015,3
903523,4,2015,4
903656,4,2015,3
903873,4,2015,2
903873,4,2015,3
903904,1,2016,2
904014,1,2015,1
904058,1,2016,3
904116,4,2016,4
904128,4,2015,3
904128,4,2016,4
904323,5,2016,2
904323,5,2016,3
904323,5,2016,4
904480,1,2015,2
904491,3,2015,2
904723,3,2015,3
904907,4,2015,2
905073,4,2016,3
905076,1,2016,2
905136,3,2015,3
905311,5,2015,2
905662,3,2016,5
906031,4,2015,3
906049,4,2015,3
906436,5,2016,2
906466,4,2015,2
906503,5,2016,2
906887,4,2015,3
906946,4,2015,3
907076,1,2016,1
907544,1,2016,2
907637,4,2016,2
907637,4,2016,3
907644,2,2016,2
907715,3,2015,2
907726,4,2015,3
907852,4,2016,2
907890,5,2016,2
908214,1,2016,2
908787,1,2015,2
909188,3,2015,3
909188,4,2015,4
909250,4,2015,4
909259,4,2015,3
909441,1,2015,3
909442,2,2015,4
909471,5,2016,2
909480,3,2015,2
909493,4,2016,3
909493,5,2016,4
