nquest,NCOMP,nord,sex,parent,anasc,cit,aningr,motiv,staciv,studio,tipolau,votoedu,suedu,selode,annoedu,tipodip,univer,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,ETA,isco,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT
912241,3,1,1,1,1970,1,,,1,5,,36,60,0,1990,1,2,1,,9,,,,3,1,3,46,51,3,1,1,4,1,1,1,1,1,1,1,1,3,1.7244990727
912241,3,2,2,2,1980,1,2005,3,1,3,,,,,,,,13,,,,,,,,3,36,,2,7,3,5,0,0,0,1,1,1,1,1,3,1.7244990727
912241,3,3,2,6,2007,1,,,2,1,,,,,,,,17,,,,,,3,1,3,9,,1,7,3,5,0,0,0,1,1,1,1,1,3,1.7244990727
912258,1,1,2,1,1959,2,2000,3,2,3,,,,,,,,1,,20,,,,,,3,57,53,4,1,1,4,1,1,1,1,1,1,1,1,3,0.6983555402
912261,1,1,2,1,1927,1,,,4,3,,,,,,,,15,2,8,,,,3,1,3,89,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5868212916
912262,2,1,2,1,1955,1,,,1,2,,,,,,,,13,,,,,,3,1,3,61,,4,7,3,5,0,0,0,0,1,1,1,2,4,0.5418513124
912262,2,2,1,2,1942,1,,,1,3,,,,,,,,15,8,6,,,,3,1,3,74,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5418513124
912266,1,1,1,1,1934,1,,,4,3,,,,,,,,15,1,3,,,,3,1,3,82,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5449256171
912267,1,1,1,1,1927,1,,,4,2,,,,,,,,15,1,8,,,,8,1,3,89,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5449256171
912270,1,1,2,1,1923,1,,,4,2,,,,,,,,15,8,7,,,,3,1,3,93,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5868212916
912271,1,1,2,1,1930,1,,,4,6,9,7,10,0,1952,4,,15,3,16,,,,3,1,3,86,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5868212916
912273,1,1,1,1,1949,1,,,3,5,,46,60,0,1969,1,2,15,2,7,,,,3,1,3,67,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5449256171
912274,2,1,1,1,1947,1,,,1,3,,,,,,,,15,2,15,,,,19,3,3,69,,5,6,3,5,1,1,0,0,2,1,1,2,4,0.5655839972
912274,2,2,2,2,1946,1,,,1,2,,,,,,,,15,1,7,,,,19,3,3,70,,5,6,3,5,0,1,0,0,2,1,1,2,4,0.5655839972
912281,1,1,1,1,1959,1,,,2,5,,36,60,0,1979,2,2,1,,7,,,,18,3,3,57,54,4,1,1,4,1,1,1,1,1,1,1,2,4,0.4994251279
912290,1,1,1,1,1966,1,,,3,7,6,104,110,0,1992,3,,4,,8,,,,7,1,3,50,52,3,3,1,4,1,1,1,1,1,1,1,2,4,0.9320235345
912292,1,1,2,1,1949,1,,,4,2,,,,,,,,16,,,,,,19,3,3,67,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.5868212916
912310,3,1,2,1,1969,1,,,2,4,,,,,,,,2,,8,,,,3,1,3,47,33,3,2,1,4,1,1,1,1,3,1,1,0,1,1.7661287149
912310,3,2,1,4,1940,1,,,1,2,,,,,,,,15,7,6,,,,3,1,3,76,,5,6,3,5,0,1,0,1,3,1,1,0,1,1.7661287149
912310,3,3,2,4,1940,1,,,1,2,,,,,,,,16,,,,,,3,1,3,76,,5,6,3,5,0,1,0,1,3,1,1,0,1,1.7661287149
912313,2,1,1,1,1942,1,,,1,3,,,,,,,,15,9,3,,,,3,1,3,74,,5,6,3,5,1,1,0,0,2,1,1,0,1,1.4201562995
912313,2,2,2,2,1943,1,,,1,3,,,,,,,,15,2,17,,,,3,1,3,73,,5,6,3,5,0,1,0,0,2,1,1,0,1,1.4201562995
912315,2,1,2,1,1958,1,,,2,5,,36,60,0,1978,2,1,12,10,7,,,,3,1,3,58,,4,7,3,5,0,0,0,0,1,1,1,0,1,1.4129539016
912315,2,2,2,4,1937,1,,,4,5,,10,10,0,1955,5,2,15,2,16,,,,3,1,3,79,,5,6,3,5,1,1,0,0,1,1,1,0,1,1.4129539016
912335,4,1,1,1,1972,1,,,1,5,,47,60,0,1991,2,2,2,,4,,,,3,1,3,44,41,2,2,1,2,1,1,1,2,2,1,1,0,1,3.1627625716
912335,4,2,2,2,1974,1,,,1,5,,49,60,0,1993,5,2,3,,16,,,,3,1,3,42,23,2,2,1,3,0,1,1,2,2,1,1,0,1,3.1627625716
912335,4,3,2,6,2003,1,,,2,2,,,,,,,,17,,,,,,3,1,3,13,,1,7,3,5,0,0,0,2,2,1,1,0,1,3.1627625716
912335,4,4,1,6,2008,1,,,2,1,,,,,,,,17,,,,,,3,1,3,8,,1,7,3,5,0,0,0,2,2,1,1,0,1,3.1627625716
912336,4,1,2,1,1978,1,,,3,3,,,,,,,,12,2,17,,,,3,1,3,38,,2,7,3,5,1,1,0,0,1,1,1,0,1,3.24058338
912336,4,2,1,6,2002,1,,,2,3,,,,,,,,17,,,,,,3,1,3,14,,1,7,3,5,0,0,0,0,1,1,1,0,1,3.24058338
912336,4,3,1,6,2006,1,,,2,2,,,,,,,,17,,,,,,3,1,3,10,,1,7,3,5,0,0,0,0,1,1,1,0,1,3.24058338
912336,4,4,1,6,2014,1,,,2,1,,,,,,,,18,,,,,,3,1,3,2,,1,7,3,5,0,0,0,0,1,1,1,0,1,3.24058338
912338,4,1,1,1,1969,1,2000,3,1,4,,,,,,,,1,,3,,,,,,3,47,72,3,1,1,2,1,1,1,2,3,1,1,0,1,2.765400511
912338,4,2,2,2,1983,1,2002,2,1,3,,,,,,,,1,,19,,,,,,3,33,41,1,1,1,4,0,1,1,2,3,1,1,0,1,2.765400511
912338,4,3,1,6,2007,1,,,2,1,,,,,,,,17,,,,,,3,1,3,9,,1,7,3,5,0,0,0,2,3,1,1,0,1,2.765400511
912338,4,4,2,4,1940,2,2007,2,4,2,,,,,,,,16,,,,,,,,3,76,,5,6,3,5,0,1,0,2,3,1,1,0,1,2.765400511
912342,4,1,2,1,1987,1,,,1,4,,,,,,,,13,,,,,,13,3,3,29,,1,7,3,5,0,0,0,1,1,1,1,0,1,3.7152068355
912342,4,2,1,2,1980,1,,,1,4,,,,,,,,1,,7,,,,18,3,3,36,52,2,1,1,4,1,1,1,1,1,1,1,0,1,3.7152068355
912342,4,3,2,6,2009,1,,,2,1,,,,,,,,17,,,,,,3,1,3,7,,1,7,3,5,0,0,0,1,1,1,1,0,1,3.7152068355
912342,4,4,2,6,2012,1,,,2,1,,,,,,,,18,,,,,,3,1,3,4,,1,7,3,5,0,0,0,1,1,1,1,0,1,3.7152068355
912351,1,1,2,1,1927,1,,,4,2,,,,,,,,16,,,,,,3,1,3,89,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.5466376317
912360,1,1,1,1,1946,1,,,4,5,,10,10,0,1966,2,2,15,10,6,,,,3,1,3,70,,5,6,3,5,1,1,1,1,1,1,1,1,3,0.5076108401
912362,2,1,1,1,1941,1,,,1,3,,,,,,,,15,1,3,,,,3,1,3,75,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.5268545998
912362,2,2,2,2,1940,1,,,1,3,,,,,,,,15,1,3,,,,3,1,3,76,,5,6,3,5,0,1,0,0,2,1,1,1,3,0.5268545998
912364,2,1,2,1,1956,1,1956,1,1,3,,,,,,,,13,,,,,,,,3,60,,4,7,3,5,0,1,0,0,2,1,1,1,3,0.5047470539
912364,2,2,1,2,1948,1,,,1,2,,,,,,,,15,1,6,,,,3,1,3,68,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.5047470539
912367,2,1,1,1,1950,1,,,1,7,3,106,110,0,1972,2,,15,3,16,,,,3,1,3,66,,5,6,3,5,0,1,0,0,2,1,1,1,3,0.5268545998
912367,2,2,2,2,1949,1,,,1,4,,,,,,,,15,2,19,,,,3,1,3,67,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.5268545998
912368,2,1,2,1,1964,1,,,3,4,,,,,,,,2,,14,,,,3,1,3,52,33,3,2,1,4,0,1,1,2,2,1,1,1,3,0.7355703261
912368,2,2,1,7,1992,1,,,2,5,,60,100,0,2011,2,2,7,,7,,,,3,1,3,24,52,1,4,2,4,1,1,1,2,2,1,1,1,3,0.7355703261
912372,2,1,1,1,1948,1,,,1,7,9,110,110,1,1988,5,,15,5,16,,,,3,1,3,68,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.5047470539
912372,2,2,2,2,1953,1,,,1,5,,52,60,0,1971,5,2,15,3,16,,,,3,1,3,63,,4,6,3,5,0,1,0,0,2,1,1,1,3,0.5047470539
912376,5,1,1,1,1967,1,,,1,5,,50,60,0,1986,2,2,3,,16,,,,3,1,3,49,23,3,2,1,3,1,1,1,3,4,1,1,1,3,0.9222140545
912376,5,2,2,2,1968,1,,,1,4,,,,,,,,3,,16,,,,3,1,3,48,23,3,2,1,3,0,1,1,3,4,1,1,1,3,0.9222140545
912376,5,3,2,6,1993,1,,,2,5,,78,100,0,2012,3,1,17,,,,,,3,1,3,23,,1,7,3,5,0,1,0,3,4,1,1,1,3,0.9222140545
912376,5,4,1,6,1995,1,,,2,5,,87,100,0,2015,1,2,1,,19,,,,3,1,3,21,82,1,1,1,4,0,1,1,3,4,1,1,1,3,0.9222140545
912376,5,5,1,6,1999,1,,,2,3,,,,,,,,17,,,,,,3,1,3,17,,1,7,3,5,0,0,0,3,4,1,1,1,3,0.9222140545
912377,1,1,2,1,1965,1,,,3,3,,,,,,,,13,,,,,,3,1,3,51,,3,7,3,5,1,1,0,0,1,1,1,1,3,0.5009941919
912382,5,1,1,1,1981,1,,,1,5,,75,100,0,2000,3,2,8,,18,,,,3,1,3,35,26,2,5,2,4,0,1,1,2,2,1,1,1,3,1.4364158598
912382,5,2,2,2,1980,1,,,1,7,1,110,110,1,2004,3,,2,,11,,,,3,1,3,36,33,2,2,1,4,1,1,1,2,2,1,1,1,3,1.4364158598
912382,5,3,1,6,2009,1,,,2,1,,,,,,,,17,,,,,,3,1,3,7,,1,7,3,5,0,0,0,2,2,1,1,1,3,1.4364158598
912382,5,4,2,6,2011,1,,,2,1,,,,,,,,18,,,,,,3,1,3,5,,1,7,3,5,0,0,0,2,2,1,1,1,3,1.4364158598
912382,5,5,2,6,2013,1,,,2,1,,,,,,,,18,,,,,,3,1,3,3,,1,7,3,5,0,0,0,2,2,1,1,1,3,1.4364158598
912385,1,1,2,1,1962,1,,,3,7,9,110,110,1,1986,3,,3,,16,,,,3,1,3,54,23,3,2,1,3,1,1,1,1,1,1,1,1,3,0.5009941919
912398,1,1,1,1,1950,1,,,3,4,,,,,,,,12,2,9,,,,3,1,3,66,,5,7,3,5,1,1,0,0,1,1,1,0,2,1.8914514457
912400,5,1,1,1,1962,1,,,1,7,7,104,110,0,2010,2,,6,,6,,,,19,3,3,54,24,3,4,2,4,1,1,1,3,3,1,1,0,2,2.4808285294
912400,5,2,2,2,1964,1,,,1,4,,,,,,,,2,,17,,,,3,1,3,52,32,3,2,1,3,0,1,1,3,3,1,1,0,2,2.4808285294
912400,5,3,1,6,1991,1,,,2,6,4,92,110,0,2014,3,,2,,6,,,,3,1,3,25,21,1,2,1,4,0,1,1,3,3,1,1,0,2,2.4808285294
912400,5,4,2,6,1996,1,,,1,5,,82,100,0,2015,3,1,17,,,,,,3,1,3,20,,1,7,3,5,0,0,0,3,3,1,1,0,2,2.4808285294
912400,5,5,1,9,1997,1,,,2,5,,98,100,0,2016,2,2,17,,,,,,19,3,3,19,,1,7,3,5,0,0,0,3,3,1,1,0,2,2.4808285294
912409,1,1,2,1,1939,1,,,4,7,9,110,110,1,1960,5,,15,5,16,,,,3,1,3,77,,5,6,3,5,1,1,0,0,1,1,1,0,2,2.0368724567
912411,1,1,1,1,1969,1,,,2,5,,50,60,0,1988,1,2,12,,19,,,,3,1,3,47,,3,7,3,5,1,1,1,1,1,1,1,0,2,3.2350787087
912441,3,1,1,1,1953,1,,,1,5,,45,60,0,1972,2,2,15,2,18,,,,3,1,3,63,,4,6,3,5,0,1,0,1,2,1,1,1,3,0.7161199767
912441,3,2,2,2,1952,1,,,1,3,,,,,,,,13,,,,,,3,1,3,64,,4,7,3,5,0,0,0,1,2,1,1,1,3,0.7161199767
912441,3,3,1,6,1984,1,,,2,5,,75,100,0,2003,2,2,2,,19,,,,3,1,3,32,35,1,2,1,4,1,1,1,1,2,1,1,1,3,0.7161199767
912444,3,1,1,1,1948,1,,,1,3,,,,,,,,15,2,18,,,,3,1,3,68,,5,6,3,5,0,1,0,2,3,1,1,1,3,0.6860317633
912444,3,2,2,2,1955,1,,,1,5,,45,60,0,1974,1,2,5,,3,,,,3,1,3,61,13,4,3,1,2,1,1,1,2,3,1,1,1,3,0.6860317633
912444,3,3,2,6,1988,1,,,2,6,6,70,100,0,2012,3,,2,,19,,,,3,1,3,28,43,1,2,1,4,0,1,1,2,3,1,1,1,3,0.6860317633
912445,1,1,2,1,1933,1,,,4,2,,,,,,,,15,1,7,,,,3,1,3,83,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.5587851347
912446,1,1,2,1,1937,1,,,4,1,,,,,,,,15,1,4,,,,19,3,3,79,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.5587851347
912449,1,1,2,1,1953,1,,,3,5,,40,60,0,1972,1,2,15,2,3,,,,3,1,3,63,,4,6,3,5,1,1,0,0,1,1,1,1,3,0.5121273961
912451,3,1,1,1,1952,1,,,1,5,,42,60,0,1979,2,2,15,4,11,,,,3,1,3,64,,4,6,3,5,1,1,0,1,3,1,1,1,3,0.6485478487
912451,3,2,2,2,1954,1,,,1,7,9,110,110,0,2002,5,,15,3,16,,,,3,1,3,62,,4,6,3,5,0,1,0,1,3,1,1,1,3,0.6485478487
912451,3,3,1,6,1987,1,,,2,7,9,110,110,0,2011,3,,2,,19,,,,3,1,3,29,44,1,2,1,4,0,1,1,1,3,1,1,1,3,0.6485478487
912452,1,1,2,1,1956,1,,,4,3,,,,,,,,15,2,3,,,,18,3,3,60,,4,6,3,5,1,1,0,0,1,1,1,1,3,0.5121273961
912453,1,1,1,1,1931,1,,,4,4,,,,,,,,15,1,3,,,,5,1,3,85,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.518891081
912456,2,1,1,1,1938,1,,,1,2,,,,,,,,15,1,3,,,,5,1,3,78,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.5385624798
912456,2,2,2,2,1941,1,,,1,2,,,,,,,,13,,,,,,5,1,3,75,,5,7,3,5,0,0,0,0,1,1,1,1,3,0.5385624798
912459,1,1,2,1,1947,1,,,4,2,,,,,,,,15,1,3,,,,19,3,3,69,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.5587851347
912467,1,1,2,1,1972,1,,,2,5,,70,100,0,1991,1,2,2,,11,,,,3,1,3,44,42,2,2,1,4,1,1,1,1,1,1,1,1,3,0.9557284149
912473,3,1,2,1,1969,1,,,3,3,,,,,,,,2,,7,,,,3,1,3,47,52,3,2,1,4,1,1,1,1,1,1,1,1,3,1.0376150601
912473,3,2,2,6,1999,1,,,2,3,,,,,,,,17,,,,,,3,1,3,17,,1,7,3,5,0,0,0,1,1,1,1,1,3,1.0376150601
912473,3,3,1,6,2004,1,,,2,2,,,,,,,,17,,,,,,3,1,3,12,,1,7,3,5,0,0,0,1,1,1,1,1,3,1.0376150601
912476,2,1,1,1,1957,2,2000,3,1,3,,,,,,,,1,,6,,,,,,3,59,71,4,1,1,4,1,1,1,2,2,1,1,1,3,0.6892561805
912476,2,2,2,2,1966,2,2005,2,1,3,,,,,,,,20,,20,,,,,,3,50,91,3,5,2,4,0,1,1,2,2,1,1,1,3,0.6892561805
912482,1,1,2,1,1984,1,,,2,5,,70,100,0,2004,1,2,1,,19,,,,3,1,3,32,51,1,1,1,4,1,1,1,1,1,1,1,1,3,1.400709526
912488,1,1,2,1,1933,1,,,4,1,,,,,,,,16,,,,,,18,3,3,83,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.2655720011
912493,2,1,1,1,1935,1,,,1,2,,,,,,,,15,1,3,,,,18,3,3,81,,5,6,3,5,1,1,0,0,2,1,1,2,4,0.2559608454
912493,2,2,2,2,1941,1,,,1,2,,,,,,,,15,1,19,,,,18,3,3,75,,5,6,3,5,0,1,0,0,2,1,1,2,4,0.2559608454
912494,1,1,2,1,1949,1,,,4,3,,,,,,,,15,1,3,,,,3,1,3,67,,5,6,3,5,1,1,0,0,1,1,1,2,4,0.2655720011
912495,2,1,1,1,1941,1,,,1,3,,,,,,,,15,1,3,,,,17,3,3,75,,5,6,3,5,1,1,0,0,2,1,1,2,4,0.2559608454
912495,2,2,2,2,1940,1,,,1,2,,,,,,,,15,1,3,,,,17,3,3,76,,5,6,3,5,0,1,0,0,2,1,1,2,4,0.2559608454
912497,2,1,1,1,1939,1,,,1,3,,,,,,,,15,2,19,,,,3,1,3,77,,5,6,3,5,1,1,0,0,2,1,1,2,4,0.2559608454
912497,2,2,2,2,1943,1,,,1,2,,,,,,,,15,1,13,,,,3,1,3,73,,5,6,3,5,0,1,0,0,2,1,1,2,4,0.2559608454
912500,2,1,1,1,1946,1,,,1,3,,,,,,,,15,1,3,,,,19,3,3,70,,5,6,3,5,1,1,0,0,2,1,1,2,4,0.2559608454
912500,2,2,2,2,1949,1,1975,3,1,3,,,,,,,,15,1,3,,,,,,3,67,,5,6,3,5,0,1,0,0,2,1,1,2,4,0.2559608454
912501,1,1,1,1,1958,1,1968,2,2,4,,,,,,,,1,,19,,,,,,3,58,91,4,1,1,4,1,1,1,1,1,1,1,2,4,0.2260199698
912502,1,1,1,1,1955,1,,,3,5,,56,60,0,1974,2,2,8,,7,,,,3,1,3,61,75,4,5,2,4,1,1,1,1,1,1,1,2,4,0.2260199698
912504,3,1,1,1,1955,1,,,1,5,,10,10,0,1975,1,2,2,,7,,,,3,1,3,61,43,4,2,1,4,1,1,1,1,2,1,1,2,4,0.2657377825
912504,3,2,2,2,1957,1,,,1,3,,,,,,,,15,2,8,,,,3,1,3,59,,4,6,3,5,0,1,0,1,2,1,1,2,4,0.2657377825
912504,3,3,1,6,1997,1,1999,2,2,5,,85,100,0,2016,3,1,17,,,,,,,,3,19,,1,7,3,5,0,0,0,1,2,1,1,2,4,0.2657377825
912515,3,1,2,1,1978,1,,,1,5,,70,100,0,1997,1,2,2,,7,,,,3,1,3,38,52,2,2,1,4,0,1,1,2,2,1,1,2,4,0.6451188897
912515,3,2,1,2,1981,1,,,1,5,,64,100,0,2000,2,2,1,,19,,,,3,1,3,35,74,2,1,1,4,1,1,1,2,2,1,1,2,4,0.6451188897
912515,3,3,1,6,2010,1,,,2,1,,,,,,,,17,,,,,,3,1,3,6,,1,7,3,5,0,0,0,2,2,1,1,2,4,0.6451188897
912535,1,1,2,1,1933,1,,,4,2,,,,,,,,16,,,,,,14,3,3,83,,5,6,3,5,1,1,0,0,1,1,1,2,3,0.1753642927
912536,2,1,2,1,1945,1,,,4,2,,,,,,,,16,,,,,,16,3,3,71,,5,6,3,5,1,1,0,0,2,1,1,2,3,0.2277788261
912536,2,2,1,6,1970,1,,,2,3,,,,,,,,12,1,3,,,,16,3,3,46,,3,7,3,5,0,1,0,0,2,1,1,2,3,0.2277788261
912538,1,1,2,1,1940,1,,,4,2,,,,,,,,15,1,3,,,,18,3,3,76,,5,6,3,5,1,1,0,0,1,1,1,2,3,0.1753642927
912540,2,1,1,1,1948,1,,,1,5,,40,60,0,1967,2,2,15,2,3,,,,3,1,3,68,,5,6,3,5,1,1,0,0,2,1,1,2,3,0.1690177896
912540,2,2,2,2,1950,1,,,1,5,,45,60,0,1966,1,2,15,2,3,,,,3,1,3,66,,5,6,3,5,0,1,0,0,2,1,1,2,3,0.1690177896
912541,2,1,2,1,1960,1,,,3,3,,,,,,,,2,,14,,,,19,3,3,56,43,4,2,1,4,1,1,1,1,2,1,1,2,3,0.1967764369
912541,2,2,2,6,2001,1,,,2,3,,,,,,,,17,,,,,,3,1,3,15,,1,7,3,5,0,1,0,1,2,1,1,2,3,0.1967764369
912543,1,1,1,1,1934,1,,,4,2,,,,,,,,15,1,3,,,,16,3,3,82,,5,6,3,5,1,1,0,0,1,1,1,2,3,0.162844288
912552,2,1,1,1,1943,1,,,1,7,4,77,100,0,1970,3,,15,2,4,,,,9,2,3,73,,5,6,3,5,1,1,0,0,2,1,1,2,3,0.1690177896
912552,2,2,2,2,1943,1,,,1,3,,,,,,,,15,2,3,,,,9,2,3,73,,5,6,3,5,0,1,0,0,2,1,1,2,3,0.1690177896
912555,3,1,2,1,1965,1,,,3,3,,,,,,,,1,,19,,,,18,3,3,51,63,3,1,1,4,1,1,1,2,2,1,1,2,3,0.2728518278
912555,3,2,2,6,1991,1,,,2,5,,75,100,0,2010,3,1,2,,7,,,,18,3,3,25,52,1,2,1,4,0,1,1,2,2,1,1,2,3,0.2728518278
912555,3,3,1,6,1993,1,,,2,5,,65,100,0,2012,2,1,17,,,,,,18,3,3,23,,1,7,3,5,0,0,0,2,2,1,1,2,3,0.2728518278
912560,2,1,2,1,1978,2,2000,2,2,3,,,,,,,,1,,9,,,,,,3,38,51,2,1,1,4,1,1,1,1,2,1,1,2,3,0.2799997525
912560,2,2,2,4,1954,2,2000,3,4,3,,,,,,,,16,,,,,,,,3,62,,4,6,3,5,0,1,0,1,2,1,1,2,3,0.2799997525
912561,1,1,1,1,1969,1,,,3,3,,,,,,,,12,1,19,,,,3,1,3,47,,3,7,3,5,1,1,0,0,1,1,1,2,3,0.2785237179
912562,1,1,2,1,1972,1,,,2,5,,10,10,0,1991,1,2,2,,7,,,,3,1,3,44,52,2,2,1,4,1,1,1,1,1,1,1,2,3,0.2999375378
912563,1,1,2,1,1982,1,,,2,5,,80,100,0,2001,5,2,2,,19,,,,3,1,3,34,42,1,2,1,4,1,1,1,1,1,1,1,2,3,0.4395865602
912565,1,1,1,1,1987,2,,,2,5,,78,100,0,2007,1,2,2,,7,,,,3,1,3,29,52,1,2,1,4,1,1,1,1,1,1,1,2,3,0.3347325044
912566,1,1,2,1,1970,1,,,2,4,,,,,,,,2,,17,,,,9,2,3,46,32,3,2,1,3,1,1,1,1,1,1,1,2,3,0.2999375378
912568,3,1,1,1,1989,1,,,2,3,,,,,,,,1,,19,,,,16,3,3,27,83,1,1,1,4,0,1,1,2,2,1,1,2,3,0.2099035257
912568,3,2,2,14,1953,1,,,1,2,,,,,,,,13,,,,,,16,3,3,63,,4,7,3,5,0,0,0,2,2,1,1,2,3,0.2099035257
912568,3,3,1,14,1949,1,,,1,2,,,,,,,,1,,19,,,,16,3,3,67,83,5,1,1,4,1,1,1,2,2,1,1,2,3,0.2099035257
912571,2,1,2,1,1988,1,,,2,5,,67,100,0,2007,1,2,2,,3,,,,3,1,3,28,42,1,2,1,2,0,1,1,2,2,1,1,2,3,0.3474223672
912571,2,2,1,3,1989,1,,,2,3,,,,,,,,1,,5,,,,3,1,3,27,96,1,1,1,2,1,1,1,2,2,1,1,2,3,0.3474223672
912591,2,1,1,1,1950,1,,,1,3,,,,,,,,15,2,17,,,,3,1,3,66,,5,6,3,5,0,1,0,0,2,1,1,1,3,0.595342679
912591,2,2,2,2,1951,1,,,1,5,,42,60,0,1972,2,2,15,3,16,,,,3,1,3,65,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.595342679
912593,1,1,2,1,1925,1,,,2,2,,,,,,,,15,1,19,,,,3,1,3,91,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.6447520785
912594,3,1,2,1,1964,1,,,3,5,,58,60,0,1982,2,2,2,,7,,,,19,3,3,52,12,3,2,1,4,1,1,1,2,2,1,1,1,3,0.8920668174
912594,3,2,2,6,1992,1,,,2,7,9,80,100,0,2016,3,,3,,16,,,,3,1,3,24,23,1,2,1,3,0,1,1,2,2,1,1,1,3,0.8920668174
912594,3,3,2,6,1998,1,,,2,3,,,,,,,,17,,,,,,3,1,3,18,,1,7,3,5,0,0,0,2,2,1,1,1,3,0.8920668174
912597,2,1,1,1,1947,1,,,1,5,,43,60,0,1966,2,2,15,8,3,,,,3,1,3,69,,5,6,3,5,0,1,0,0,2,1,1,1,3,0.621418246
912597,2,2,2,2,1948,1,,,1,4,,,,,,,,15,2,10,,,,3,1,3,68,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.621418246
912615,5,1,2,1,1974,1,,,3,5,,44,60,0,1992,3,2,2,,13,,,,3,1,3,42,24,2,2,1,4,1,1,1,1,3,1,1,1,3,0.9511829198
912615,5,2,1,6,2003,1,,,2,2,,,,,,,,17,,,,,,3,1,3,13,,1,7,3,5,0,0,0,1,3,1,1,1,3,0.9511829198
912615,5,3,2,6,2001,1,,,2,3,,,,,,,,17,,,,,,3,1,3,15,,1,7,3,5,0,0,0,1,3,1,1,1,3,0.9511829198
912615,5,4,1,4,1946,1,,,1,5,,48,60,0,1964,2,2,15,5,11,,,,3,1,3,70,,5,6,3,5,0,1,0,1,3,1,1,1,3,0.9511829198
912615,5,5,2,4,1946,1,,,1,5,,40,60,0,1964,2,2,15,2,7,,,,3,1,3,70,,5,6,3,5,0,1,0,1,3,1,1,1,3,0.9511829198
912630,2,1,2,1,1939,1,,,1,5,,10,10,0,1959,5,2,15,3,16,,,,13,3,3,77,,5,6,3,5,0,1,0,0,2,1,1,1,3,0.5049023248
912630,2,2,1,2,1931,1,,,1,5,,10,10,0,1951,1,2,15,2,3,,,,13,3,3,85,,5,6,3,5,1,1,0,0,2,1,1,1,3,0.5049023248
912631,3,1,2,1,1960,1,,,4,3,,,,,,,,1,,17,,,,18,3,3,56,32,4,1,1,3,1,1,1,3,3,1,1,1,3,0.9570376611
912631,3,2,1,6,1980,1,,,2,3,,,,,,,,1,,3,,,,3,1,3,36,93,2,1,1,2,0,1,1,3,3,1,1,1,3,0.9570376611
912631,3,3,2,6,1984,1,,,2,5,,75,100,0,2006,1,2,1,,20,,,,3,1,3,32,32,1,1,1,4,0,1,1,3,3,1,1,1,3,0.9570376611
912634,2,1,1,1,1955,1,,,1,5,,40,60,0,1974,2,2,5,,3,,,,3,1,3,61,12,4,3,1,2,1,1,1,1,2,1,1,1,3,0.4627437218
912634,2,2,2,2,1958,1,,,1,3,,,,,,,,15,2,3,,,,3,1,3,58,,4,6,3,5,0,1,0,1,2,1,1,1,3,0.4627437218
912635,2,1,2,1,1941,1,,,4,3,,,,,,,,15,2,17,,,,3,1,3,75,,5,6,3,5,1,1,0,1,2,1,1,1,3,0.6804375984
912635,2,2,1,6,1967,1,,,2,5,,46,60,0,1986,2,2,2,,11,,,,3,1,3,49,33,3,2,1,4,0,1,1,1,2,1,1,1,3,0.6804375984
912637,1,1,2,1,1950,1,,,4,4,,,,,,,,15,2,7,,,,3,1,3,66,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.5238610638
912638,1,1,2,1,1956,1,,,4,3,,,,,,,,2,,16,,,,3,1,3,60,91,4,2,1,3,1,1,1,1,1,1,1,1,3,0.4801194339
912639,1,1,1,1,1938,1,,,4,2,,,,,,,,15,1,3,,,,3,1,3,78,,5,6,3,5,1,1,0,0,1,1,1,1,3,0.4864603884
912640,4,1,1,1,1964,1,,,1,5,,10,10,0,1983,1,2,2,,11,,,,1,1,3,52,42,3,2,1,4,1,1,1,2,3,1,1,1,3,0.7058042828
912640,4,2,2,2,1965,1,,,1,5,,58,60,0,1984,1,2,2,,17,,,,15,3,3,51,32,3,2,1,3,0,1,1,2,3,1,1,1,3,0.7058042828
912640,4,3,1,6,1989,1,,,2,5,,80,100,0,2008,1,2,11,,,,,,3,1,3,27,,1,7,3,5,0,0,0,2,3,1,1,1,3,0.7058042828
