nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,tfitimp2,ritaff,supab,ancostr,bagni,valabit,aspvalabit1_1,aspvalabit1_2,aspvalabit1_3,aspvalabit1_4,aspvalabit1_5,aspvalabit2_1,aspvalabit2_2,aspvalabit2_3,aspvalabit2_4,aspvalabit2_5,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra11,tmanstra11,manstra12,tmanstra12,manstra21,tmanstra21,manstra22,tmanstra22,energia,tenergia,tenergian,ristrut,tristrut,tristrutn,debita1,ndebita1,debita2,ndebita2,debitc,ndebitc,debitd,ndebitd,debite,ndebite,debitf,ndebitf,debitg,ndebitg,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,reapmut3,mutuoric,mutuoric3,casafut,ncasafut,cla_ered,cla_ered2,intpersezd,docsezd,ROTAZIONE
7886,1987,1,1,100,1987,1,2,,,,,,,,6,,,,,,,,,700,,,110,1976,2,250000,5,10,70,10,5,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
11972,1980,1,1,100,1979,1,2,,,,,,,,1,16000,,,,,,,,500,,,95,1969,1,150000,0,0,0,100,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
20297,1964,2,,,,,,,,,,,,,,,,,380,1,2,,4,,,2,83,1960,1,80000,0,0,30,40,30,,,,,,1,1,2,,1,1,1,1,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,1,,1,2,1
20711,1944,4,,,,,,,,,,,,,,,,,,,,,2,,300,,80,1920,1,150000,,,,,,50,50,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
20837,1963,1,1,100,1963,1,2,,,,,,,,2,1400,,,,,,,,,600,,95,1963,1,130000,,,,,,5,5,80,10,0,1,2,2,,2,,2,,2,,2,,2,,1,7000,2,,2,,,1,3000,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,1,2
22099,1982,1,1,100,1981,1,2,,,,,,,,4,,,,,,,,,350,,,100,1960,2,200000,0,0,100,0,0,,,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
22169,2005,2,,,,,,,,,,,,,,,,,350,4,1,500,4,,,2,35,1980,1,160000,0,0,0,50,50,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,1,1500,2,,,,,2,,,2,2,,,,,1,2,1
22173,1971,2,,,,,,,,,,,,,,,,,800,1,2,,4,,,2,70,1900,1,400000,15,5,15,35,30,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
22208,1978,1,1,100,1978,1,,,,,,,,,2,20000,,,,,,,,,400,,107,1977,1,300000,,,,,,60,20,10,10,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
22276,1967,1,1,100,1967,1,,,,,,,,,1,20000,,,,,,,,,200,,60,1500,1,50000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
22286,1991,1,1,100,1991,1,2,,,,,,,,4,,,,,,,,,600,,,220,1989,2,200000,30,30,40,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
22624,2005,5,,,,,,,,,,,,,,,,,,,,,1,,300,,68,2005,1,150000,,,,,,0,0,0,40,60,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,1,2000,2,,,,,2,,,2,2,1,2,,2,2,2,2
22657,2001,1,1,100,2001,1,2,,,,,,,,1,370000,,,,,,,,,1500,,280,1997,2,450000,,,,,,10,10,60,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
22996,1934,1,1,100,1982,1,,,,,,,,,4,,,,,,,,,450,,,150,1850,1,145000,5,25,70,0,0,,,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
23370,2001,2,,,,,,,,,,,,,,,,,400,6,2,,7,,,2,80,1977,1,90000,0,10,60,20,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
23490,1958,1,1,100,1958,1,,,,,,,,,4,,,,,,,,,,450,,100,1957,1,180000,,,,,,20,20,60,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
23797,1987,5,,,,,,,,,,,,,,,,,,,,,4,,800,,50,1900,1,400000,,,,,,15,25,30,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,1,50000,2,,,,,2,,,2,2,,,,,1,2,2
23821,1959,1,1,100,1959,1,,,,,,,,,1,20000,,,,,,,,350,,,70,1959,1,100000,0,50,50,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
23823,2010,1,1,100,2009,2,,,,,,,,,2,200000,,,,,,,,,500,,100,2009,2,240000,,,,,,0,30,70,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
24147,1983,1,1,100,1983,1,,,,,,,,,4,,,,,,,,,1200,,,200,1900,2,1500000,0,0,100,0,0,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
24149,1983,2,,,,,,,,,,,,,,,,,127,6,1,500,8,,,2,80,1983,1,120000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
24194,1990,1,1,100,1990,1,2,,,,,,,,3,30000,,,,,,,,500,,,100,1970,1,100000,0,5,50,40,5,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,2,,,,,2,,,2,2,1,2,2,,2,2,1
24382,1972,4,,,,,,,,,,,,,,,,,,,,,2,,150,,75,1950,1,50000,,,,,,10,40,30,10,10,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
24616,2004,2,,,,,,,,,,,,,,,,,300,4,2,,3,,,2,55,1945,1,120000,,,,,,100,0,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
24760,1963,1,1,100,2010,1,,,,,,,,,3,8000,,,,,,,,500,,,75,1960,1,140000,10,10,40,20,20,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
24764,1989,1,1,100,1989,2,,,,,,,,,4,,,,,,,,,500,,,90,1960,2,250000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
24809,1992,1,1,100,1992,1,,,,,,,,,1,130000,,,,,,,,,650,,118,1970,1,260000,,,,,,40,20,20,10,10,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
24853,1991,1,1,100,1991,1,,,,,,,,,2,75000,,,,,,,,,600,,90,1991,1,250000,,,,,,0,0,100,0,0,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,2
25007,1989,4,,,,,,,,,,,,,,,,,,,,,2,400,,,150,1988,2,300000,10,10,80,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
26349,2000,1,1,100,2000,1,,,,,,,,,1,140000,,,,,,,,500,,,80,1989,2,190000,0,100,0,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
27109,1962,1,1,100,1967,1,,,,,,,,,1,10000,,,,,,,,,150,,70,1960,1,40000,,,,,,10,10,60,10,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
27114,1957,4,,,,,,,,,,,,,,,,,,,,,2,340,,,90,1952,1,200000,40,40,20,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
27116,1942,1,1,100,1971,1,,,,,,,,,4,,,,,,,,,300,,,100,1935,2,100000,50,40,10,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
27157,1987,1,1,100,1990,1,,,,,,,,,4,,,,,,,,,450,,,150,1972,2,200000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,1,3000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,4,,1,2,1
27238,2010,1,1,100,2010,1,,,,,,,,,7,30000,,,,,,,,300,,,75,2010,1,100000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,1,3000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
27509,1998,1,1,100,1996,1,,,,,,,,,1,70000,,,,,,,,600,,,85,1935,2,120000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
27730,1970,1,1,100,1968,1,2,,,,,,,,2,9000,,,,,,,,,450,,80,1968,1,130000,,,,,,20,50,10,10,10,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
27734,1981,1,1,100,1981,1,2,,,,,,,,2,9500,,,,,,,,,300,,56,1979,1,60000,,,,,,0,10,80,10,0,1,1,2,,2,,2,,2,,1,3000,2,,2,,2,,1,,1,2,,,1,1,2,,2,,2,,2,,2,,2,,1,,2,2,,2,,2,,,,,1,1,,,,,,,,1,2,2
27739,1961,1,1,100,1961,1,,,,,,,,,7,9000,,,,,,,,400,,,110,1961,2,200000,20,20,60,0,0,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,1,15000,2,,,2,,,2,,2,,2,,1,1,2,,2,,2,,,3,2,2,,2,,1,2,1,,,,,,,,,,,,1,2,1
27742,1957,4,,,,,,,,,,,,,,,,,,,,,2,350,,,100,1957,1,150000,20,20,40,10,10,,,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
27912,1979,1,1,100,1948,1,,,,,,,,,4,,,,,,,,,300,,,80,1930,1,50000,0,10,80,10,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,1,1,1,2,2,,2,,2,,,1,2,2,,2,,1,2,1,,,,,,,,,,,,1,2,1
27923,1962,1,1,100,1962,1,2,,,,,,,,1,30000,,,,,,,,,600,,110,1960,2,100000,,,,,,40,0,30,20,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
27947,1980,1,2,50,1980,1,2,,,,,,,,7,25000,2,,,,,,,,500,,90,1980,1,70000,,,,,,40,20,20,20,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,2,2,2
28362,1963,1,1,100,1963,1,,,,,,,,,5,80000,,,,,,,,400,,,150,1960,1,100000,20,40,20,10,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
28441,1980,1,1,100,1979,1,2,,,,,,,,1,14000,,,,,,,,700,,,90,1960,1,200000,30,30,20,10,10,,,,,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
28802,1971,1,1,100,1981,1,2,,,,,,,,4,,,,,,,,,700,,,85,1965,1,170000,10,20,30,30,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,3,,2,2,1
28859,1974,1,1,100,1974,1,,,,,,,,,4,,,,,,,,,500,,,100,1960,2,180000,30,20,10,10,30,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
28992,1983,1,1,100,1983,1,2,,,,,,,,1,60000,,,,,,,,,1000,,100,1973,1,150000,,,,,,0,0,100,0,0,1,2,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
29140,1965,1,1,100,1965,1,,,,,,,,,1,20000,,,,,,,,,800,,90,1965,2,520000,,,,,,10,20,50,10,10,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
29678,1957,1,1,100,1990,2,,,,,,,,,4,,,,,,,,,,300,,98,1956,1,50000,,,,,,90,10,0,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
29680,1989,1,1,100,1987,1,,,,,,,,,4,,,,,,,,,400,,,110,1965,1,200000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,2,1
29737,2003,1,1,100,2003,2,,,,,,,,,6,,,,,,,,,,500,,90,1964,2,350000,,,,,,10,10,10,60,10,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
29742,1989,1,1,100,1986,1,2,,,,,,,,1,80000,,,,,,,,200,,,120,1963,1,400000,10,10,60,10,10,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,1,1,2,,2,,2,,2,,,1,2,2,,2,,2,,,,,1,1,,,,,,,,1,2,1
29798,1973,1,1,100,1968,1,2,,,,,,,,7,4000,,,,,,,,,500,,124,1968,2,150000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,1,5000,2,,2,,1,,1,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
29823,1993,1,1,100,1993,1,,,,,,,,,5,12000,,,,,,,,600,,,100,1974,1,200000,10,20,30,40,0,,,,,,2,,2,,2,,2,,2,,1,1000,2,,2,,2,,2,,,2,,,2,,2,,2,,1,1,2,,2,,2,,,1,2,2,,2,,1,2,1,,,,,,,,1,1,1,,2,2,1
31093,2010,1,1,100,2010,1,,,,,,,,,2,300000,,,,,,,,600,,,100,2002,2,300000,0,0,30,30,40,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,1,1
31220,1988,1,1,100,1988,1,2,,,,,,,,7,100000,,,,,,,,700,,,104,1988,1,400000,15,35,30,20,0,,,,,,1,1,1,2,2,,2,,2,,2,,1,4000,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
31221,1970,1,1,100,1970,1,2,,,,,,,,4,,,,,,,,,800,,,300,1968,2,350000,20,20,20,20,20,,,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
31246,1974,1,1,100,1974,1,2,,,,,,,,1,11900,,,,,,,,350,,,135,1935,1,120000,0,10,85,5,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
31625,1975,1,1,100,1975,1,,,,,,,,,1,4000,,,,,,,,,600,,100,1975,2,350000,,,,,,0,0,0,50,50,1,1,2,,1,3,2,,2,,1,1500,1,8500,2,,1,2500,1,5500,,1,,1,2,,2,,2,,2,,2,,1,1,2,,,1,2,2,,2,,1,2,1,,,,,,,,,,,,2,2,2
31652,1975,1,1,100,1977,2,,,,,,,,,4,,,,,,,,,,250,,110,1964,1,70000,,,,,,0,100,0,0,0,2,,1,1,1,2,2,,2,,1,2988,2,,2,,2,,1,298,,1,4833,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,1,2
31665,1988,1,1,100,1988,1,,,,,,,,,2,57500,,,,,,,,,500,,100,1958,1,300000,,,,,,30,20,50,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
31671,1973,1,1,100,1982,1,,,,,,,,,1,35000,,,,,,,,500,,,86,1935,1,300000,0,0,100,0,0,,,,,,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,2,,,,1,1,1
31695,1987,1,1,100,1987,2,,,,,,,,,4,,,,,,,,,,700,,100,1950,1,150000,,,,,,0,0,100,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,1,1,1,1,2,,2,,2,,,3,2,2,,2,,1,2,1,,,,,,,,,,,,3,2,2
31724,1990,1,1,100,1990,1,2,,,,,,,,1,85000,,,,,,,,700,,,75,1977,1,300000,20,10,40,10,20,,,,,,1,2,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,1,1,3,,1,2,1
31757,1967,1,1,100,1967,1,,,,,,,,,3,2500,,,,,,,,,600,,50,1967,1,140000,,,,,,40,30,20,10,0,2,,2,,2,,2,,2,,1,500,2,,2,,2,,1,,1,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
31799,1979,1,1,100,1978,1,2,,,,,,,,2,38000,,,,,,,,400,,,80,1978,1,100000,0,0,0,100,0,,,,,,1,1,2,,2,,2,,2,,1,300,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,1,1
31860,1999,1,1,100,2013,1,2,,,,,,,,1,77000,,,,,,,,600,,,108,1974,2,150000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,1,2000,2,,2,,2,,,2,,,1,1,2,,2,,2,,2,,2,,2,,4,,2,2,,2,,2,,,,,2,,,2,2,1,2,2,,1,2,1
32034,1965,1,1,100,1997,1,2,,,,,,,,2,65000,,,,,,,,400,,,80,1963,1,75000,0,0,100,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
32044,1975,2,,,,,,,,,,,,,,,,,250,2,1,350,4,,,2,105,1930,1,75000,,,,,,15,35,50,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
32052,1970,1,1,100,1970,1,2,,,,,,,,7,100000,,,,,,,,,600,,130,1970,1,130000,,,,,,60,10,30,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,2
32057,1938,1,1,100,1970,1,2,3,,,,,,,4,,,,,,,,,400,,,120,1820,2,230000,0,70,30,0,0,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,,,2,,2,,2,,2,,2,,2,,2,,,,,2,,2,,2,,,,,2,,,2,2,,,,,1,2,1
