nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
27739,1,0,0,4340,0,0,0,0,0,0,4340,0,0,4340,0,17160,4800,21960,63.949169375,0,0,0,63.949169375,22023.949169,26363.949169,0,0
27742,1,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,4300,4300,0,0,0,0,0,4300,12360,0,0
27912,1,0,0,13200,0,0,0,0,0,0,13200,0,0,13200,0,0,3600,3600,29.322252194,0,0,0,29.322252194,3629.3222522,16829.322252,0,0
27912,2,0,0,1400,0,500,0,0,0,0,1400,0,500,1900,0,0,0,0,0,0,0,0,0,0,1900,0,0
27912,3,15600,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,0,0
27923,1,0,0,16800,0,0,0,0,0,0,16800,0,0,16800,0,0,7200,7200,208.49096099,0,0,0,208.49096099,7408.490961,24208.490961,0,0
27947,1,0,0,10440,0,0,0,0,0,0,10440,0,0,10440,0,0,6000,6000,262.78546002,0,0,0,262.78546002,6262.78546,16702.78546,0,0
27947,2,0,0,5400,0,0,0,0,0,0,5400,0,0,5400,0,0,0,0,0,0,0,0,0,0,5400,0,0
28362,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,4800,4800,73.305630485,277.37080201,0,0,350.67643249,5150.6764325,25950.676432,0,0
28441,1,0,0,19500,300,0,0,0,0,0,19800,0,0,19800,0,0,20400,20400,8.7259189217,0,47.297903018,0,56.02382194,20456.023822,40256.023822,0,0
28802,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,0,8400,8400,10.780311917,0,0,0,10.780311917,8410.7803119,22410.780312,14000,0
28802,2,32000,0,0,0,0,0,0,0,32000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,0,0
28859,1,0,0,5850,0,0,0,0,0,0,5850,0,0,5850,0,0,6000,6000,5.7832389948,0,0,0,5.7832389948,6005.783239,11855.783239,0,0
28992,1,0,0,21840,0,0,0,0,3000,0,21840,-3000,-3000,18840,0,0,13180,13180,73.305630485,0,0,0,73.305630485,13253.30563,32093.30563,0,0
29140,1,0,0,14400,0,0,0,0,0,0,14400,0,0,14400,0,0,15600,15600,134.57218848,0,0,0,134.57218848,15734.572188,30134.572188,0,0
29140,2,0,0,12600,0,0,0,0,0,0,12600,0,0,12600,0,0,0,0,0,0,0,0,0,0,12600,0,0
29678,1,0,0,15340,0,0,0,0,0,0,15340,0,0,15340,0,0,3600,3600,17.555099652,0,0,0,17.555099652,3617.5550997,18957.5551,0,0
29680,1,16800,0,0,0,0,0,0,0,16800,0,0,0,0,0,0,4800,4800,5.4979222863,0,0,0,5.4979222863,4805.4979223,21605.497922,0,0
29680,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,8000,8000,0
29680,4,10000,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0
29737,1,39000,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,6000,6000,139.28069792,0,0,0,139.28069792,6139.2806979,45139.280698,0,0
29737,2,12000,0,9750,0,0,0,0,0,12000,9750,0,0,9750,0,0,0,0,0,0,0,0,0,0,21750,0,0
29742,1,20000,0,0,0,0,0,0,8000,20000,0,-8000,-8000,-8000,0,0,2400,2400,0,0,0,0,0,2400,14400,0,0
29742,2,22000,500,0,0,0,0,0,0,22500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,0,0
29742,3,0,0,2730,0,0,0,0,0,0,2730,0,0,2730,0,0,0,0,0,0,0,0,0,0,2730,0,0
29798,1,0,0,16900,0,0,0,0,0,0,16900,0,0,16900,0,0,6000,6000,439.83378291,0,0,0,439.83378291,6439.8337829,23339.833783,0,0
29798,2,0,0,6240,0,0,0,0,0,0,6240,0,0,6240,0,0,0,0,0,0,0,0,0,0,6240,0,0
29823,1,0,0,3640,0,0,0,100,0,0,3640,100,100,3740,0,0,7200,7200,0,0,0,0,0,7200,10940,0,0
29823,2,25000,0,0,0,2000,0,0,0,25000,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,27000,0,0
29823,4,6000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0
31093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,7200,7200,17.853460566,0,33.425588415,0,51.279048981,7251.279049,22251.279049,15000,0
31220,1,0,0,15600,0,0,0,0,0,0,15600,0,0,15600,0,24000,8400,32400,40.318096766,0,217.82098901,0,258.13908577,32658.139086,48258.139086,0,0
31220,2,0,0,11440,0,0,0,0,0,0,11440,0,0,11440,0,0,0,0,0,0,0,0,0,0,11440,0,0
